DateTime,Entries,UniqueIPs
1493678428,1926,1926
1493684430,1983,1983
1493690428,1947,1947
1493695829,1898,1898
1493700628,1868,1868
1493706028,1847,1847
1493711428,1805,1805
1493716828,1802,1802
1493722228,1720,1720
1493727628,1669,1669
1493733030,1634,1634
1493738428,1573,1573
1493743228,1570,1570
1493748629,1592,1592
1493752225,1602,1602
1493755828,1631,1631
1493759425,1683,1683
1493764828,1720,1720
1493770236,1753,1753
1493775628,1781,1781
1493781628,1751,1751
1493786432,1794,1794
1493791828,1771,1771
1493797228,1802,1802
1493803228,1798,1798
1493808628,1746,1746
1493814028,1714,1714
1493819429,1708,1708
1493824228,1714,1714
1493829628,1749,1749
1493835628,1732,1732
1493841029,1739,1739
1493845828,1738,1738
1493850028,1755,1755
1493854827,1790,1790
1493860829,1760,1760
1493866228,1735,1735
1493871027,1683,1683
1493877028,1707,1707
1493881829,1721,1721
1493887229,1709,1709
1493892628,1703,1703
1493897428,1664,1664
1493902228,1653,1653
1493907628,1599,1599
1493913028,1577,1577
1493917828,1826,1826
1493923829,1837,1837
1493929829,1857,1857
1493934028,1873,1873
1493939429,2038,2038
1493946029,2045,2045
1493952028,2010,2010
1493959228,1987,1987
1493966429,1933,1933
1493973028,1876,1876
1493978428,1855,1855
1493983828,1842,1842
1493989228,1807,1807
1493994628,1784,1784
1494000028,1795,1795
1494004828,1822,1822
1494010228,1857,1857
1494015029,1911,1911
1494021029,1956,1956
1494026428,2072,2072
1494033029,2093,2093
1494041428,2033,2033
1494048028,1916,1916
1494054028,1882,1882
1494059429,1858,1858
1494064228,1818,1818
1494069628,1809,1809
1494075029,1780,1780
1494081028,1750,1750
1494085828,1723,1723
1494090628,1718,1718
1494096028,1736,1736
1494101429,1738,1738
1494106831,1791,1791
1494112228,1800,1800
1494116428,1831,1831
1494121829,1842,1842
1494127828,1830,1830
1494133229,1838,1838
1494138629,1793,1793
1494142829,1834,1834
1494148828,1865,1865
1494154230,1879,1879
1494160228,1866,1866
1494165028,1838,1838
1494170429,1825,1825
1494175829,1867,1867
1494181228,1914,1914
1494186629,1928,1928
1494192029,1958,1958
1494196829,1981,1981
1494201028,1982,1982
1494206428,2000,2000
1494212429,2000,2000
1494217829,1932,1932
1494223829,1901,1901
1494229829,1863,1863
1494235229,1830,1830
1494240629,1788,1788
1494246629,1765,1765
1494250829,1727,1727
1494256829,1718,1718
1494262229,1738,1738
1494267035,1760,1760
1494272435,1816,1816
1494277835,1858,1858
1494283235,1899,1899
1494288634,1900,1900
1494294635,1894,1894
1494300634,1815,1815
1494305434,1814,1814
1494310235,1772,1772
1494316235,1744,1744
1494321035,1727,1727
1494326435,1712,1712
1494331835,1715,1715
1494337835,1731,1731
1494343234,1704,1704
1494347435,1724,1724
1494351635,1743,1743
1494357035,1766,1766
1494363035,1798,1798
1494367835,1848,1848
1494371432,1892,1892
1494377435,1938,1938
1494383439,1936,1936
1494388835,1849,1849
1494393635,1818,1818
1494399635,1785,1785
1494403835,1759,1759
1494409235,1758,1758
1494414634,1731,1731
1494420635,1735,1735
1494426036,1728,1728
1494430834,1727,1727
1494436235,1750,1750
1494442235,1781,1781
1494447035,1839,1839
1494452435,1896,1896
1494457835,1923,1923
1494463835,1950,1950
1494469835,1897,1897
1494475835,1841,1841
1494480635,1777,1777
1494485435,1769,1769
1494490835,1737,1737
1494495635,1731,1731
1494501035,1714,1714
1494506436,1673,1673
1494511835,1680,1680
1494518435,1674,1674
1494522635,1682,1682
1494528035,1713,1713
1494531633,1742,1742
1494535241,1761,1761
1494540635,1786,1786
1494544835,1800,1800
1494550234,1786,1786
1494555635,1788,1788
1494561037,1798,1798
1494567041,1738,1738
1494571234,1741,1741
1494576635,1741,1741
1494582635,1745,1745
1494587435,1722,1722
1494592835,1689,1689
1494598834,1634,1634
1494603645,1627,1627
1494609035,1604,1604
1494612032,1615,1615
1494615635,1655,1655
1494619233,1690,1690
1494622836,1729,1729
1494627035,1745,1745
1494632434,1775,1775
1494638434,1778,1778
1494644435,1702,1702
1494648635,1686,1686
1494654635,1644,1644
1494658845,1645,1645
1494662432,1672,1672
1494666035,1680,1680
1494669633,1690,1690
1494673835,1718,1718
1494679835,1672,1672
1494684635,1631,1631
1494689435,1614,1614
1494693635,1623,1623
1494698436,1663,1663
1494705632,1756,1756
1494709835,1794,1794
1494713432,1827,1827
1494718835,2012,2012
1494725435,2044,2044
1494732035,1954,1954
1494738635,1883,1883
1494743435,1849,1849
1494748234,1826,1826
1494753635,1816,1816
1494758435,1835,1835
1494765035,1777,1777
1494770436,1733,1733
1494774636,1743,1743
1494780034,1742,1742
1494786035,1778,1778
1494790835,1754,1754
1494796236,1778,1778
1494799833,1823,1823
1494805235,1872,1872
1494811235,1920,1920
1494817236,1868,1868
1494822635,1824,1824
1494827435,1772,1772
1494832835,1797,1797
1494838236,1756,1756
1494843035,1757,1757
1494846632,1757,1757
1494853235,1728,1728
1494858035,1734,1734
1494863435,1702,1702
1494868238,1700,1700
1494874238,1674,1674
1494879635,1671,1671
1494883835,1689,1689
1494888035,1712,1712
1494891634,1735,1735
1494895835,1739,1739
1494901235,1710,1710
1494906035,1671,1671
1494911434,1673,1673
1494916835,1677,1677
1494922235,1736,1736
1494928236,1784,1784
1494934236,1717,1717
1494939635,1649,1649
1494943835,1637,1637
1494949235,1621,1621
1494954636,1716,1716
1494960636,1756,1756
1494966035,1779,1779
1494971436,1838,1838
1494976235,1869,1869
1494982236,1861,1861
1494987637,1826,1826
1494993035,1798,1798
1494998438,1781,1781
1495003236,1823,1823
1495006832,1832,1832
1495012835,1821,1821
1495017635,1821,1821
1495023636,1795,1795
1495029036,1741,1741
1495034435,1685,1685
1495039235,1640,1640
1495044635,1677,1677
1495050036,1720,1720
1495053632,1753,1753
1495058436,1764,1764
1495062034,1781,1781
1495066236,1789,1789
1495071634,1824,1824
1495077635,1796,1796
1495083035,1787,1787
1495088434,1752,1752
1495093235,1738,1738
1495099235,1701,1701
1495104636,1687,1687
1495109435,1658,1658
1495114834,1638,1638
1495120837,1623,1623
1495125635,1626,1626
1495130435,1635,1635
1495137633,1662,1662
1495141235,1695,1695
1495145435,1711,1711
1495150836,1788,1788
1495156835,1792,1792
1495162236,1767,1767
1495167635,1761,1761
1495173035,1724,1724
1495178435,1734,1734
1495183837,1726,1726
1495189237,1630,1630
1495193436,1620,1620
1495197635,1631,1631
1495203636,1595,1595
1495209036,1533,1533
1495213835,1564,1564
1495218635,1597,1597
1495222233,1617,1617
1495225835,1684,1684
1495233033,1725,1725
1495237235,1733,1733
1495243235,1744,1744
1495248635,1707,1707
1495254036,1650,1650
1495258836,1636,1636
1495264235,1620,1620
1495267832,1603,1603
1495270835,1565,1565
1495274432,1578,1578
1495278035,1594,1594
1495281645,1603,1603
1495285834,1604,1604
1495289433,1577,1577
1495294235,1528,1528
1495297242,1523,1523
1495305033,1570,1570
1495308636,1620,1620
1495315832,1712,1712
1495323032,1742,1742
1495327236,1751,1751
1495332636,1741,1741
1495338636,1700,1700
1495343436,1669,1669
1495348235,1680,1680
1495351832,1734,1734
1495355435,1768,1768
1495360235,1798,1798
1495365637,1765,1765
1495371036,1702,1702
1495376450,1646,1646
1495381837,1633,1633
1495386635,1633,1633
1495390255,1644,1644
1495393232,1648,1648
1495397444,1690,1690
1495401033,1730,1730
1495405836,1777,1777
1495410035,1795,1795
1495416036,1768,1768
1495422036,1727,1727
1495427435,1642,1642
1495431636,1622,1622
1495436435,1620,1620
1495440032,1620,1620
1495443635,1632,1632
1495450832,1627,1627
1495455036,1602,1602
1495460436,1586,1586
1495465836,1568,1568
1495471235,1582,1582
1495474833,1594,1594
1495478435,1600,1600
1495483835,1610,1610
1495488635,1594,1594
1495492232,1596,1596
1495495835,1606,1606
1495499432,1636,1636
1495504236,1641,1641
1495509035,1629,1629
1495514436,1614,1614
1495519835,1595,1595
1495522832,1602,1602
1495526435,1603,1603
1495530033,1593,1593
1495534237,1593,1593
1495537833,1587,1587
1495540835,1551,1551
1495544433,1551,1551
1495548036,1527,1527
1495551645,1545,1545
1495555230,1556,1556
1495558833,1579,1579
1495563032,1578,1578
1495568432,1577,1577
1495573235,1587,1587
1495576833,1642,1642
1495580436,1708,1708
1495584635,1748,1748
1495590636,1719,1719
1495596036,1655,1655
1495601435,1601,1601
1495609232,1621,1621
1495612836,1651,1651
1495617035,1677,1677
1495623036,1748,1748
1495628436,1772,1772
1495634436,1720,1720
1495639836,1700,1700
1495644636,1665,1665
1495649436,1686,1686
1495653033,1721,1721
1495658436,1732,1732
1495663836,1747,1747
1495667432,1811,1811
1495672835,1813,1813
1495678835,1782,1782
1495683635,1760,1760
1495687233,1751,1751
1495692635,1780,1780
1495698036,1762,1762
1495704035,1755,1755
1495708835,1701,1701
1495714235,1671,1671
1495719635,1624,1624
1495724435,1616,1616
1495728032,1641,1641
1495731636,1645,1645
1495735233,1666,1666
1495738836,1690,1690
1495742433,1700,1700
1495746035,1717,1717
1495749633,1735,1735
1495757432,1766,1766
1495761035,1795,1795
1495767036,1789,1789
1495771836,1774,1774
1495776636,1738,1738
1495780835,1739,1739
1495784433,1729,1729
1495790436,1705,1705
1495795836,1691,1691
1495800636,1645,1645
1495806036,1618,1618
1495811436,1621,1621
1495816836,1604,1604
1495821635,1620,1620
1495825232,1625,1625
1495828835,1651,1651
1495836032,1764,1764
1495840235,1819,1819
1495845635,1840,1840
1495851637,1800,1800
1495857035,1754,1754
1495862435,1734,1734
1495867836,1715,1715
1495872035,1686,1686
1495875633,1696,1696
1495879237,1746,1746
1495882833,1769,1769
1495886435,1772,1772
1495890033,1808,1808
1495893636,1814,1814
1495897836,1813,1813
1495902635,1817,1817
1495906836,1817,1817
1495912836,1765,1765
1495917638,1775,1775
1495921232,1796,1796
1495924836,1813,1813
1495930235,1823,1823
1495933833,1810,1810
1495939836,1746,1746
1495944636,1681,1681
1495949435,1648,1648
1495953033,1619,1619
1495956635,1599,1599
1495960232,1609,1609
1495963236,1619,1619
1495967456,1610,1610
1495971032,1588,1588
1495974636,1590,1590
1495978836,1532,1532
1495983636,1520,1520
1495987233,1553,1553
1495990835,1544,1544
1495994433,1571,1571
1495998036,1596,1596
1496001636,1618,1618
1496005236,1631,1631
1496008833,1637,1637
1496011835,1671,1671
1496016036,1691,1691
