DateTime,AddedIPs,RemovedIPs
1493142026,12,13
1493145022,12,0
1493149225,12,13
1493154625,16,9
1493158223,12,0
1493163626,5,28
1493169625,13,10
1493175625,12,13
1493181026,11,9
1493185825,14,17
1493190626,8,22
1493194222,12,0
1493199626,13,15
1493205025,13,8
1493211026,11,10
1493215825,6,11
1493221228,17,12
1493226625,8,13
1493232025,9,26
1493237426,13,7
1493242826,10,24
1493246422,16,0
1493251824,16,7
1493258425,11,9
1493263825,18,14
1493268624,12,13
1493273425,11,9
1493278225,13,20
1493282425,7,0
1493287825,10,11
1493292625,9,17
1493296825,14,11
1493302825,15,0
1493307624,13,19
1493313024,7,0
1493316622,14,14
1493322026,13,7
1493328025,8,9
1493332825,13,29
1493336422,15,0
1493342425,13,16
1493347824,13,14
1493352625,15,13
1493358025,12,11
1493363425,11,12
1493369425,12,15
1493374825,15,23
1493380224,12,8
1493385625,13,7
1493391025,13,15
1493396425,13,13
1493401825,20,22
1493406625,11,0
1493412025,12,14
1493415622,13,0
1493421025,11,41
1493427025,15,0
1493432425,14,9
1493437827,11,4
1493442625,8,19
1493448026,11,14
1493453425,12,16
1493458825,15,16
1493464225,10,17
1493467822,13,0
1493473225,17,31
1493479226,12,10
1493484625,14,18
1493489425,14,18
1493494225,10,11
1493498425,9,15
1493503825,8,12
1493509824,16,10
1493515825,12,9
1493521825,13,7
1493528424,13,10
1493533225,10,9
1493538025,10,11
1493543425,18,12
1493549425,10,17
1493554225,17,26
1493560225,14,14
1493565627,15,8
1493571026,14,0
1493575825,14,27
1493581825,10,0
1493586629,12,25
1493592028,11,10
1493598025,16,13
1493603425,12,14
1493609425,14,13
1493614825,14,16
1493619626,14,14
1493625025,14,10
1493630435,12,9
1493635226,18,14
1493641225,15,0
1493646626,12,28
1493652028,16,16
1493656825,15,0
1493662226,10,13
1493667625,9,30
1493671223,8,0
1493674226,13,0
1493678425,9,27
1493684427,18,0
1493690426,9,13
1493695826,12,25
1493700625,14,0
1493706025,11,7
1493711425,15,13
1493716825,14,28
1493722225,17,16
1493727625,10,8
1493733028,14,0
1493738425,11,24
1493743225,11,0
1493748626,6,27
1493752222,15,0
1493755825,10,0
1493759422,11,27
1493764825,16,8
1493770225,12,13
1493775625,9,13
1493781625,9,11
1493786429,16,11
1493791825,10,9
1493797225,12,12
1493803225,12,12
1493808626,9,6
1493814025,15,12
1493819426,12,10
1493824225,14,13
1493829626,11,10
1493835626,14,16
1493841026,10,39
1493845825,13,13
1493850025,12,0
1493854824,15,19
1493860826,13,11
1493866225,10,13
1493871025,13,11
1493877025,9,14
1493881826,15,8
1493887226,9,14
1493892625,13,9
1493897426,11,14
1493902225,14,12
1493907625,16,13
1493913026,19,14
1493917825,13,12
1493923826,11,14
1493929826,17,12
1493934025,18,13
1493939426,13,15
1493946026,10,16
1493952025,13,14
1493959226,10,12
1493966426,9,21
1493973025,14,15
1493978425,15,11
1493983825,12,17
1493989225,12,14
1493994626,13,28
1494000025,14,16
1494004825,13,17
1494010226,13,10
1494015026,15,0
1494021026,9,9
1494026425,7,24
1494033026,12,15
1494041425,13,10
1494048025,16,15
1494054025,15,16
1494059426,14,10
1494064226,14,0
1494069625,12,9
1494075026,14,14
1494081026,15,12
1494085825,12,26
1494090626,15,0
