DateTime,AddedIPs,RemovedIPs
1493131825,20,19
1493136625,24,23
1493142026,23,22
1493145022,19,20
1493149225,22,22
1493154625,22,23
1493158223,21,20
1493163626,22,24
1493169625,21,20
1493175625,23,21
1493181026,19,22
1493185825,24,20
1493190626,23,24
1493194222,24,25
1493199626,19,22
1493205025,23,19
1493211026,24,24
1493215825,19,22
1493221228,23,20
1493226625,22,23
1493232025,22,23
1493237426,21,20
1493242826,24,23
1493246422,24,24
1493251824,23,22
1493258425,23,25
1493263825,25,22
1493268624,20,24
1493273425,22,21
1493278225,21,20
1493282425,21,22
1493287825,21,22
1493292625,19,20
1493296825,20,19
1493302825,22,21
1493307624,25,24
1493313024,19,22
1493316622,24,21
1493322026,25,24
1493328025,22,23
1493332825,21,23
1493336422,24,20
1493342425,20,25
1493347824,21,20
1493352625,25,22
1493358025,25,26
1493363425,25,24
1493369425,25,25
1493374825,23,24
1493380224,23,21
1493385625,24,26
1493391025,21,23
1493396425,25,23
1493401825,25,25
1493406625,22,24
1493412025,22,21
1493415622,22,22
1493421025,21,22
1493427025,23,22
1493432425,21,24
1493437827,19,18
1493442625,19,20
1493448026,23,20
1493453425,20,21
1493458825,23,21
1493464225,24,24
1493467822,23,25
1493473225,26,22
1493479226,22,26
1493484625,21,20
1493489425,24,22
1493494225,24,25
1493498425,20,22
1493503825,21,21
1493509824,22,22
1493515825,20,20
1493521825,23,22
1493528424,25,24
1493533225,25,24
1493538025,21,26
1493543425,24,21
1493549425,22,24
1493554225,26,21
1493560225,23,26
1493565627,22,24
1493571026,27,22
1493575825,22,25
1493581825,24,24
1493586629,25,23
1493592028,18,23
1493598025,25,21
1493603425,23,25
1493609425,22,20
1493614825,25,25
1493619626,21,23
1493625025,24,23
1493630435,22,22
1493635226,24,21
1493641225,22,25
1493646626,24,24
1493652028,22,21
1493656825,26,25
1493662226,22,25
1493667625,20,21
1493671223,20,18
1493674226,22,24
1493678425,24,20
1493684427,25,25
1493690426,26,26
1493695826,24,24
1493700625,22,26
1493706025,24,22
1493711425,22,23
1493716825,24,22
1493722225,25,25
1493727625,25,25
1493733028,26,24
1493738425,20,25
1493743225,22,20
1493748626,24,23
1493752222,22,22
1493755825,21,22
1493759422,21,23
1493764825,26,22
1493770225,24,26
1493775625,24,23
1493781625,21,25
1493786429,22,19
1493791825,19,21
1493797225,22,20
1493803225,21,22
1493808626,20,20
1493814025,26,23
1493819426,24,25
1493824225,21,22
1493829626,25,24
1493835626,24,25
1493841026,19,21
1493845825,24,22
1493850025,21,21
1493854824,22,21
1493860826,22,24
1493866225,22,21
1493871025,19,20
1493877025,24,23
1493881826,24,23
1493887226,17,19
1493892625,25,22
1493897426,20,23
1493902225,22,20
1493907625,26,25
1493913026,24,25
1493917825,22,23
1493923826,25,24
1493929826,23,25
1493934025,20,20
1493939426,24,23
1493946026,23,24
1493952025,24,23
1493959226,22,22
1493966426,22,23
1493973025,23,23
1493978425,20,20
1493983825,23,22
1493989225,25,24
1493994626,21,21
1494000025,25,24
1494004825,25,26
1494010226,21,23
1494015026,25,23
1494021026,20,25
1494026425,20,16
1494033026,22,23
1494041425,21,21
1494048025,23,21
1494054025,24,24
1494059426,25,25
1494064226,22,23
1494069625,23,23
1494075026,24,22
1494081026,25,26
1494085825,21,22
1494090626,24,24
1494096026,21,22
1494101426,24,23
1494106829,24,24
1494112225,23,23
1494116425,21,24
1494121826,21,19
1494127825,24,23
1494133226,24,23
1494138626,20,20
1494142826,21,24
1494148825,25,22
1494154227,22,22
1494160225,24,25
1494165025,23,21
1494170426,20,23
1494175826,24,21
1494181225,23,25
1494186626,22,22
1494192026,26,23
1494196826,24,26
1494201025,19,23
1494206426,24,21
1494212426,24,24
1494217826,24,22
1494223826,23,25
1494229826,24,23
1494235226,21,22
1494240626,26,24
1494246626,22,23
1494250826,22,23
1494256826,20,22
1494262226,20,18
1494267032,21,23
1494272432,24,22
1494277832,25,23
1494283232,22,24
1494288632,21,23
1494294632,22,22
1494300631,24,20
1494305432,23,25
1494310232,22,21
1494316232,22,23
1494321032,23,22
1494326432,24,25
1494331833,21,22
1494337832,18,18
1494343231,23,22
1494347432,22,21
1494351632,20,20
1494357032,25,24
1494363032,20,24
1494367832,21,20
1494371429,23,22
1494377432,22,23
1494383436,20,20
1494388832,22,21
1494393632,20,22
1494399633,21,19
1494403832,25,23
1494409232,21,24
1494414631,25,22
1494420632,26,26
1494426033,23,23
1494430831,23,24
1494436232,22,24
1494442233,23,23
1494447032,22,20
1494452432,26,24
1494457832,25,27
1494463832,24,25
1494469832,25,24
1494475832,23,25
1494480632,21,22
1494485432,23,19
1494490832,20,25
1494495632,26,21
1494501033,24,24
1494506434,23,25
1494511832,27,24
1494518433,26,27
1494522632,19,21
1494528032,21,24
1494531630,23,18
1494535238,22,25
1494540632,24,21
1494544832,23,25
1494550232,27,24
1494555632,26,26
1494561034,22,25
1494567033,25,23
1494571232,24,25
1494576632,22,24
1494582632,22,21
1494587432,24,22
1494592833,23,24
1494598832,19,22
1494603642,21,18
1494609032,26,25
1494612030,23,23
1494615632,22,23
1494619230,21,21
1494622833,22,24
1494627032,22,21
1494632431,23,22
1494638431,21,22
1494644432,26,24
1494648632,22,23
1494654632,19,21
1494658842,23,20
1494662429,22,25
1494666033,22,20
1494669630,19,22
1494673833,24,21
1494679832,22,23
1494684633,20,22
1494689432,23,21
1494693632,22,21
1494698433,25,23
1494705629,22,26
1494709832,21,20
1494713429,22,20
1494718832,23,26
1494725432,24,23
1494732032,23,22
1494738633,25,25
1494743432,21,24
1494748232,17,18
1494753632,21,19
1494758432,19,20
1494765032,24,19
1494770433,22,26
1494774633,24,22
1494780032,22,22
1494786033,24,24
1494790832,23,25
1494796233,24,21
1494799830,22,25
1494805232,21,23
1494811232,24,21
