DateTime,AddedIPs,RemovedIPs
1488697202,0,1
1488697502,1,0
1488705902,0,1
1488706202,1,0
1488717902,1,0
1488718501,1,1
1488737702,1,0
1488742202,0,2
1488758702,2,0
1488798602,1,1
1488798902,1,1
1488812701,1,0
1488818102,1,0
1488819902,0,2
1488820202,1,0
1488820801,1,2
1488824102,1,0
1488840902,0,1
1488845102,1,0
1488853502,1,0
1488863703,1,0
1488879301,0,2
1488880202,1,1
1488900902,1,0
1488903602,1,1
1488903902,1,0
1488904502,0,1
1488905101,0,1
1488914702,1,0
1488926701,0,1
1488927002,1,2
1488963602,1,0
1488964501,1,1
1488969002,1,0
1488969302,0,1
1488990902,1,0
1488991502,0,1
1488999602,1,0
1489008302,1,0
1489013402,1,3
1489017602,2,0
1489059902,1,1
1489060503,0,1
1489117802,1,1
1489142702,1,0
1489168802,1,1
1489226402,1,0
1489237802,2,3
1489255802,1,0
1489260902,0,1
1489276802,2,0
1489359906,1,0
1489360204,0,1
1489363205,1,0
1489391401,1,0
1489405502,1,1
1489428603,1,0
1489431002,0,1
1489442702,1,0
1489449602,2,0
1489449902,0,1
1489476602,1,1
1489497602,2,2
1489513802,1,0
1489515302,1,2
1489524603,0,1
1489536302,1,0
1489622402,2,0
1489667102,1,0
1489708802,5,0
1489763103,1,0
1489766103,1,0
1489776902,0,2
1489795202,2,0
1489881602,1,0
1489956301,1,0
1489956602,0,1
1489968302,2,0
1490015102,1,0
1490016302,1,0
1490021102,0,2
1490035502,1,0
1490035802,0,1
1490054102,1,1
1490054405,3,0
1490104505,2,1
1490104804,0,1
1490124602,1,1
1490138103,1,1
1490141101,2,0
1490201101,1,1
1490227202,4,0
1490267403,1,0
1490285403,1,0
1490296202,0,1
1490313902,4,0
1490348703,1,0
1490361303,0,1
1490375702,1,1
1490400002,4,0
1490436302,1,1
1490439901,1,1
1490458203,1,1
1490462103,1,1
1490471702,1,1
1490483402,1,1
1490486402,4,0
1490546703,1,1
1490550603,1,1
1490573103,2,0
1490670602,1,0
1490673902,0,1
1490713502,1,0
1490713802,0,1
1490745602,4,0
1490752503,1,1
1490756102,1,1
1490767802,1,1
1490784002,1,1
1490792702,1,1
1490825102,1,0
1490826900,0,1
1490832002,7,0
1490870702,2,2
1490875501,1,0
1490890503,0,1
1490895902,1,1
1490899502,1,1
1490918702,9,0
1490929202,1,1
1490951101,1,1
1490958602,1,0
1490979903,0,1
1490980802,1,1
1491003302,1,1
1491005102,8,0
1491006602,1,1
1491014101,1,1
1491017702,1,1
1491021302,1,1
1491024302,1,0
1491091202,6,1
1491095102,1,1
1491099002,1,1
1491124501,1,1
1491177901,14,0
1491179702,1,1
1491183302,1,1
1491205501,1,1
1491228002,1,0
1491239702,1,0
1491248701,0,1
1491251402,1,0
1491264002,2,1
1491267002,1,0
1491281703,0,1
1491282002,1,0
1491295501,1,0
1491312302,1,1
1491313802,0,1
1491314102,1,0
1491316202,1,1
1491319501,1,1
1491331503,0,2
1491333902,1,0
1491340502,1,0
1491342302,0,2
1491343802,2,0
1491344402,1,0
1491351002,3,0
1491351601,0,1
1491353402,1,0
1491397502,0,2
1491397802,1,0
1491402302,1,0
1491414903,0,2
1491415202,1,0
1491419702,1,0
1491421502,1,1
1491425101,1,1
1491428702,0,1
1491429002,1,0
1491437102,6,0
1491441302,0,1
1491441902,1,0
1491479702,0,1
1491482703,1,0
1491500102,2,2
1491523202,5,0
1491524102,1,1
1491524402,1,0
1491544802,0,1
1491545701,1,0
1491564602,0,2
1491565502,1,0
1491566402,1,0
1491592802,0,1
1491593102,1,0
1491609602,5,0
1491637802,0,2
1491638102,1,0
1491638702,1,0
1491664203,0,2
1491664502,1,0
1491665402,1,0
1491684902,0,2
1491685501,2,0
1491696302,1,0
1491738302,1,1
1491742202,1,1
1491745501,0,2
1491745802,1,0
1491746702,1,0
1491756602,1,1
1491760202,1,1
1491766201,1,3
1491766502,1,0
1491782402,3,0
1491841501,1,2
1491841803,1,0
1491844502,0,1
1491844801,0,1
1491845701,2,0
1491856203,1,1
1491859802,1,1
1491864901,0,2
1491865502,2,0
1491868802,2,0
1491887101,0,1
1491888302,1,0
1491915002,1,1
1491917403,1,2
1491917701,1,0
1491918902,1,1
1491955501,1,0
1491955803,1,1
1491959402,1,1
1491961502,0,1
1491964202,1,0
1491983102,1,3
1491983402,1,0
1492008902,1,2
1492009202,1,0
1492021502,1,0
1492030802,0,1
1492041602,2,0
1492103101,1,1
1492106701,1,1
1492115102,1,2
1492115402,1,0
1492128002,5,0
1492133102,0,1
1492133402,1,0
1492189802,1,1
1492201802,1,1
1492205702,1,1
1492239602,0,1
1492239902,1,0
1492260602,1,1
1492264502,1,1
1492269901,2,0
1492270203,0,2
1492279502,0,1
1492279802,1,0
1492296302,0,1
1492296602,1,0
1492322701,0,1
1492323301,1,0
1492334101,0,1
1492338002,1,0
1492387202,1,0
1492419602,1,1
1492423501,1,1
1492428302,1,1
1492437302,1,1
1492441202,1,1
1492463402,1,1
1492467301,1,1
1492480502,1,0
1492480802,0,1
1492515303,0,1
1492515902,1,0
1492537203,0,1
1492537802,1,0
1492554602,0,1
1492555202,1,0
1492560302,1,0
1492573503,0,1
1492573802,1,0
1492598702,1,2
1492599001,1,0
1492630202,1,2
1492630502,1,0
1492646403,4,0
1492652703,0,1
1492653002,1,0
1492665902,1,0
1492679102,2,4
1492679402,1,0
1492707302,2,2
1492726202,0,1
1492726502,1,0
1492733102,3,0
1492802701,1,1
1492806302,1,1
1492810501,1,0
1492816501,1,2
1492817102,1,0
1492819202,1,0
1492824302,1,0
1492837501,0,1
1492837802,0,1
1492839003,1,0
1492893302,0,1
1492895402,1,0
1492905602,1,0
1492910402,0,1
1492910702,1,0
1492935302,0,1
1492939802,1,0
1492962303,0,1
1492966202,1,0
1492977901,0,1
1492979102,1,0
1492989902,0,1
1492991702,1,0
1492992002,1,0
1493002802,0,1
1493005503,1,0
1493012100,1,1
1493015702,1,1
1493027700,2,1
1493028301,0,2
1493044202,0,1
1493046002,1,0
1493075101,2,0
1493075402,0,2
1493078702,4,0
1493089203,1,1
1493093101,1,1
1493125501,1,0
1493164803,1,0
1493222101,2,0
1493222402,0,1
1493223002,0,1
1493304301,2,2
1493337902,1,0
1493352302,2,2
1493383501,1,0
1493388003,1,1
1493388301,1,1
1493424302,3,0
1493469002,1,1
1493472602,1,1
1493482501,1,0
1493489405,1,1
1493501405,2,0
1493507104,0,2
1493507706,1,0
1493510406,3,0
1493529902,0,1
1493532902,1,0
1493586602,1,1
1493590203,1,1
1493593802,1,1
1493597102,4,0
1493604902,0,1
1493639103,1,0
1493642102,1,0
1493645402,2,3
1493649002,1,0
1493669402,1,1
1493669703,0,1
1493675702,1,0
