DateTime,AddedIPs,RemovedIPs
1485365028,11,63
1485390367,29,0
1485411494,28,18
1485434821,30,23
1485451443,11,49
1485475263,31,0
1485498368,26,28
1485520559,41,13
1485537448,22,42
1485561416,29,0
1485584456,16,20
1485607037,41,53
1485623598,20,24
1485648768,30,0
1485670624,13,22
1485693737,35,55
1485710697,17,25
1485734881,29,38
1485757344,12,0
1485796544,11,72
1485826300,31,23
1485842664,20,16
1485870228,48,33
1485882585,18,20
1485912008,48,20
1485929645,19,25
1485957173,61,30
1485969128,21,24
1485998738,30,33
1486015949,23,0
1486046292,37,62
1486055798,16,31
1486085012,26,35
1486102947,21,23
1486127815,35,33
1486142146,15,0
1486170643,26,49
1486188798,26,0
1486216475,34,70
1486228756,22,24
1486258060,32,33
1486275057,24,32
1486301817,36,37
1486314867,19,0
1486343949,31,46
1486361692,22,0
1486388920,36,32
1486401131,14,0
1486431767,37,54
1486447952,16,34
1486476410,49,38
1486487355,19,0
1486516515,35,59
1486534350,21,33
1486563025,29,32
1486574164,14,0
1486604226,27,50
1486621101,14,33
1486649319,31,35
1486661221,14,40
1486691451,30,26
1486707677,16,29
1486737507,41,33
1486747408,17,0
1486774060,23,46
1486793534,16,46
1486823501,54,39
1486834063,26,0
1486863479,32,66
1486879912,10,23
1486909287,48,27
1486920331,18,0
1486951001,34,80
1486966976,30,20
1486990885,37,24
1487006112,12,20
1487035976,32,36
1487052886,27,15
1487080715,39,33
1487092988,38,29
1487118584,39,33
1487138985,14,26
1487168018,44,32
1487178305,24,0
1487207380,37,55
1487225300,35,0
1487254441,34,51
1487265150,36,0
1487295232,40,65
1487311781,20,40
1487340678,43,39
1487351572,16,0
1487381271,31,85
1487398471,30,0
1487427022,48,53
1487438105,31,0
1487467391,41,58
1487484675,22,24
1487514751,47,22
1487525029,36,0
1487554068,30,49
1487571405,26,19
1487600007,37,38
1487611146,25,0
1487641053,34,64
1487657699,18,21
1487686195,35,25
1487697612,15,0
1487726912,34,61
1487743794,17,21
1487773313,34,33
1487784357,14,0
1487813637,24,54
1487829838,13,44
1487860343,41,37
1487870093,24,0
1487898599,31,72
1487916934,21,0
1487944711,37,64
1487956641,22,22
1487986035,36,36
1488003491,27,25
1488030897,40,33
1488042624,27,27
1488071111,40,32
1488089324,28,0
1488117014,37,63
1488128994,20,24
1488157114,43,30
1488176105,32,0
1488204791,43,56
1488216590,30,24
1488245348,44,25
1488262879,26,25
1488288772,34,29
1488302740,17,0
1488332268,33,41
1488349385,22,11
1488372662,28,0
1488388706,11,24
1488417286,41,32
1488435574,12,0
1488464865,31,51
1488475461,10,0
1488504239,31,62
1488522350,15,0
1488550383,31,67
1488561549,11,0
1488591546,19,59
1488608335,12,28
1488636919,26,25
1488648170,4,0
1488672103,33,29
1488694594,9,28
1488724403,35,53
1488735323,26,19
1488766338,38,26
1488781032,14,0
1488810248,35,65
1488820840,20,0
1488852089,32,55
1488867582,15,0
1488898415,45,58
1488908063,46,21
1488938965,40,29
1488953551,16,0
1488983263,56,23
1488993450,18,46
1489024186,36,32
1489039983,22,21
1489070258,40,30
1489079741,17,23
1489110371,39,36
1489126704,12,17
1489155449,31,27
1489166378,9,17
1489196127,37,32
1489212353,11,0
1489240393,40,17
1489253238,9,29
1489283792,27,21
1489299039,8,32
1489327590,29,26
1489335754,26,26
1489359579,28,10
1489382030,5,25
1489411777,29,45
1489421859,9,21
1489451893,32,20
1489468078,14,25
1489497671,30,30
1489508349,12,32
1489537217,30,16
1489554545,10,50
1489583515,37,15
1489595134,17,43
1489625536,33,0
1489641323,14,32
1489669837,30,34
1489680906,12,25
1489709751,27,22
1489727047,10,34
1489755805,36,32
1489767288,9,31
1489797672,26,25
1489814087,5,37
1489843760,36,23
1489854222,19,35
1489881977,40,30
1489900237,15,24
1489929351,36,20
1489940414,12,34
1489967750,31,28
1489986943,10,42
1490016905,44,25
1490027001,16,30
1490052835,26,32
1490073117,6,36
1490103233,34,27
1490113137,16,33
1490143600,31,33
1490160046,18,35
1490183553,38,37
1490199340,9,27
1490229353,34,31
1490245884,15,32
1490274156,31,21
1490285563,11,41
1490314321,30,38
1490332444,12,45
1490361423,34,22
1490372506,6,29
1490394930,30,21
1490418807,19,27
1490447520,29,26
1490458484,11,31
1490487921,20,22
1490505026,9,31
1490534183,20,20
1490544699,8,37
1490574515,28,24
1490591465,10,37
1490619916,22,37
1490631147,9,38
1490660049,29,35
1490677744,14,40
1490706041,35,34
1490717802,7,44
1490747020,26,39
1490763942,13,52
1490791680,23,49
1490804071,9,48
1490832568,32,45
1490851010,7,42
1490878483,24,63
1490890790,6,0
1490916179,29,24
1490937305,7,38
1490965239,25,20
1490977242,8,39
1491000658,28,19
1491023811,8,41
1491051456,38,23
1491062922,11,33
1491091045,34,21
1491109477,7,26
1491137396,26,28
1491149449,13,28
1491177536,36,22
1491196205,8,26
1491223397,32,12
1491235683,10,32
1491264143,28,19
1491283055,12,31
1491309979,31,23
1491322407,15,29
1491350979,24,23
1491368984,12,30
1491396160,30,16
1491408856,10,24
1491437441,23,27
1491455421,41,36
1491482278,32,35
1491494901,9,39
1491523731,20,26
1491541557,12,33
1491568068,33,25
1491581284,12,37
1491610636,16,23
1491629061,32,29
1491655925,24,22
1491667998,23,29
1491697063,18,22
1491714885,8,40
1491742131,44,23
1491753581,15,26
1491783127,36,17
1491800622,20,23
1491828209,37,14
1491840368,11,21
1491868757,26,15
1491887575,17,27
1491915799,22,8
1491927171,12,25
1491956931,24,42
1491974209,10,13
1492002921,28,20
1492014078,7,0
1492037912,26,19
1492061042,47,26
1492088581,30,33
1492099906,15,0
1492129557,24,10
1492146778,11,50
1492173863,30,32
1492186605,12,0
1492215555,31,15
1492233285,15,24
1492260509,18,16
1492272871,6,33
1492301928,28,0
1492319064,12,35
1492347463,34,32
1492358863,16,0
1492388804,25,10
1492405933,13,28
1492434088,32,45
1492445449,13,0
1492474193,21,14
1492491950,47,57
1492521551,25,0
1492531704,10,27
1492560899,27,17
1492578315,6,51
1492607088,36,0
1492618357,10,34
1492647122,22,54
1492664946,11,0
1492694082,26,18
1492705080,5,26
1492735517,27,49
1492752059,5,23
1492775514,40,32
1492791682,11,0
1492821274,35,43
1492838007,13,0
1492865254,34,9
1492878045,9,47
1492906515,40,26
1492924314,14,9
1492952365,30,26
1492963801,9,0
1492992979,32,37
1493010638,11,0
1493038298,34,11
1493051164,11,35
1493079680,29,21
1493097535,12,0
1493119631,42,4
1493137185,12,39
1493160167,34,0
1493183147,7,32
1493211171,43,40
1493223139,10,17
1493252403,33,31
1493270009,14,24
1493296811,37,29
1493310015,15,0
1493332702,32,22
1493356000,25,17
1493383600,27,33
1493396061,9,16
1493424095,27,26
1493442398,12,0
1493469191,32,10
1493482116,12,22
1493509312,29,17
1493529150,13,32
1493556083,45,20
1493568826,20,0
1493597684,48,36
1493615722,17,0
1493642586,54,5
1493655030,28,36
1493683932,41,0
1493701985,14,48
1493729435,33,22
1493741704,11,0
1493768674,39,24
1493788087,18,30
1493814444,52,11
1493828261,12,20
1493856392,38,35
1493874602,13,18
1493901548,48,0
1493914436,17,16
1493942201,41,15
1493961268,12,23
1493987957,47,14
1494001052,10,22
1494028317,35,12
1494047397,10,39
1494074015,39,21
1494086834,9,29
1494114717,35,39
1494133426,19,0
1494160559,30,40
1494174159,11,17
1494196120,36,0
1494220686,10,60
1494243431,50,0
1494260448,10,35
1494282437,37,10
1494307240,14,26
1494328311,46,0
1494346683,14,50
1494370095,35,0
1494393155,15,60
1494420158,32,0
1494433242,11,32
1494455714,35,14
1494479618,12,47
1494506183,31,0
1494519198,13,30
1494546724,36,0
1494565610,11,23
1494591435,33,12
1494605159,11,40
1494631216,34,0
1494652023,8,57
1494677982,32,0
1494692136,9,39
1494719150,32,30
1494738101,12,0
1494764236,36,11
1494778080,15,25
1494805311,34,15
1494824880,14,26
1494849684,35,8
1494864504,12,15
1494891032,37,7
1494911637,16,43
1494937206,34,0
1494951760,13,50
1494972489,37,0
1494997569,7,46
1495023374,36,0
1495037176,13,57
1495063634,36,0
1495083854,13,48
1495109812,36,0
1495123695,5,23
1495151890,35,26
1495170900,10,0
1495196600,36,10
1495210083,16,42
1495236840,32,0
1495256222,13,40
1495282296,31,0
1495296067,19,32
1495323533,33,0
1495342536,16,23
1495368084,39,13
1495382615,25,29
1495410066,33,21
1495429109,17,18
1495453905,39,16
1495468466,21,29
1495495292,42,21
1495514915,12,47
1495535154,42,0
1495554428,7,40
1495575323,34,0
1495601328,10,22
1495621738,34,14
1495640426,11,33
1495661602,43,14
1495687486,11,25
1495707926,40,14
1495727863,7,35
1495754329,35,28
1495774333,17,8
1495795086,31,0
1495814822,12,26
1495840922,45,10
1495861399,25,52
1495886777,32,0
1495901215,6,21
1495928310,30,48
1495947365,19,0
1495973231,34,14
1495987365,15,22
1496015323,31,9
1496034125,16,21
1496061194,33,28
1496073640,14,0
1496100520,36,43
1496120404,14,0
1496146241,32,24
1496159599,10,33
