DateTime,Entries,UniqueIPs
1485365028,1572,1585
1485390367,1576,1590
1485411494,1555,1568
1485434821,1536,1549
1485451443,1519,1532
1485475263,1525,1537
1485498368,1558,1570
1485520559,1551,1560
1485537448,1548,1558
1485561416,1595,1605
1485584456,1583,1591
1485607037,1612,1621
1485623598,1554,1564
1485648768,1551,1560
1485670624,1572,1581
1485693737,1562,1570
1485710697,1550,1558
1485734881,1544,1551
1485757344,1533,1540
1485796544,1470,1475
1485826300,1474,1480
1485842664,1452,1458
1485870228,1470,1477
1485882585,1464,1470
1485912008,1472,1478
1485929645,1454,1462
1485957173,1500,1506
1485969128,1527,1533
1485998738,1475,1481
1486015949,1473,1479
1486046292,1481,1487
1486055798,1502,1509
1486085012,1460,1468
1486102947,1442,1451
1486127815,1450,1460
1486142146,1474,1484
1486170643,1431,1440
1486188798,1424,1433
1486216475,1431,1440
1486228756,1430,1438
1486258060,1440,1449
1486275057,1441,1450
1486301817,1444,1453
1486314867,1471,1480
1486343949,1452,1461
1486361692,1476,1485
1486388920,1506,1517
1486401131,1524,1535
1486431767,1547,1559
1486447952,1489,1500
1486476410,1510,1520
1486487355,1535,1547
1486516515,1539,1551
1486534350,1513,1525
1486563025,1507,1518
1486574164,1474,1485
1486604226,1430,1441
1486621101,1414,1424
1486649319,1427,1437
1486661221,1408,1418
1486691451,1410,1422
1486707677,1401,1412
1486737507,1417,1428
1486747408,1417,1428
1486774060,1460,1471
1486793534,1403,1416
1486823501,1440,1451
1486834063,1474,1487
1486863479,1442,1451
1486879912,1426,1435
1486909287,1439,1448
1486920331,1461,1471
1486951001,1442,1454
1486966976,1451,1462
1486990885,1503,1514
1487006112,1450,1459
1487035976,1446,1455
1487052886,1477,1488
1487080715,1450,1461
1487092988,1460,1473
1487118584,1512,1525
1487138985,1451,1463
1487168018,1508,1523
1487178305,1503,1520
1487207380,1534,1552
1487225300,1536,1555
1487254441,1569,1588
1487265150,1563,1583
1487295232,1596,1616
1487311781,1576,1596
1487340678,1606,1626
1487351572,1588,1607
1487381271,1584,1602
1487398471,1623,1641
1487427022,1626,1646
1487438105,1625,1645
1487467391,1655,1673
1487484675,1650,1671
1487514751,1626,1647
1487525029,1651,1671
1487554068,1698,1719
1487571405,1663,1683
1487600007,1650,1671
1487611146,1680,1701
1487641053,1663,1684
1487657699,1655,1673
1487686195,1709,1727
1487697612,1703,1722
1487726912,1671,1689
1487743794,1693,1712
1487773313,1703,1723
1487784357,1640,1660
1487813637,1636,1653
1487829838,1626,1643
1487860343,1635,1652
1487870093,1631,1648
1487898599,1644,1661
1487916934,1671,1688
