DateTime,AddedIPs,RemovedIPs
1485365028,84,83
1485390367,101,101
1485411494,103,104
1485434821,97,96
1485451443,84,84
1485475263,97,99
1485498368,92,91
1485520559,112,112
1485537448,85,87
1485561416,99,97
1485584456,93,92
1485607037,108,109
1485623598,91,90
1485648768,98,101
1485670624,91,88
1485693737,106,107
1485710697,88,88
1485734881,95,96
1485757344,87,86
1485796544,49,49
1485826300,100,100
1485842664,98,98
1485870228,101,102
1485882585,89,88
1485912008,106,107
1485929645,92,91
1485957173,127,125
1485969128,90,91
1485998738,101,101
1486015949,95,97
1486046292,102,102
1486055798,77,77
1486085012,96,98
1486102947,89,90
1486127815,94,89
1486142146,82,85
1486170643,88,87
1486188798,86,90
1486216475,106,101
1486228756,79,83
1486258060,99,95
1486275057,91,94
1486301817,94,90
1486314867,85,90
1486343949,92,91
1486361692,79,80
1486388920,91,86
1486401131,78,83
1486431767,101,97
1486447952,81,86
1486476410,106,101
1486487355,81,87
1486516515,95,90
1486534350,85,91
1486563025,92,85
1486574164,79,85
1486604226,93,88
1486621101,79,86
1486649319,91,85
1486661221,80,84
1486691451,95,90
1486707677,82,86
1486737507,101,96
1486747408,81,88
1486774060,93,86
1486793534,86,92
1486823501,134,126
1486834063,81,88
1486863479,99,94
1486879912,80,87
1486909287,113,104
1486920331,86,94
1486951001,93,86
1486966976,103,112
1486990885,93,86
1487006112,81,88
1487035976,88,81
1487052886,82,90
1487080715,101,91
1487092988,79,83
1487118584,99,97
1487138985,83,90
1487168018,109,99
1487178305,91,99
1487207380,118,110
1487225300,102,105
1487254441,105,103
1487265150,87,91
1487295232,111,108
1487311781,87,93
1487340678,117,109
1487351572,95,102
1487381271,124,117
1487398471,105,115
1487427022,128,121
1487438105,91,98
1487467391,119,110
1487484675,101,106
1487514751,120,114
1487525029,93,101
1487554068,120,113
1487571405,101,103
1487600007,122,119
1487611146,91,96
1487641053,121,117
1487657699,95,100
1487686195,113,107
1487697612,97,100
1487726912,120,119
1487743794,97,103
1487773313,116,111
1487784357,87,97
1487813637,110,101
1487829838,89,102
1487860343,112,96
1487870093,77,83
1487898599,107,100
1487916934,89,93
1487944711,107,104
1487956641,91,96
1487986035,112,109
1488003491,105,109
1488030897,117,112
1488042624,96,104
1488071111,117,109
1488089324,93,96
1488117014,117,113
1488128994,91,98
1488157114,123,117
1488176105,102,108
1488204791,125,117
1488216590,88,100
1488245348,125,115
1488262879,95,106
1488288772,113,102
1488302740,85,99
1488332268,114,99
1488349385,85,99
1488372662,97,83
1488388706,84,94
1488417286,101,91
1488435574,80,90
1488464865,95,88
1488475461,74,82
1488504239,96,89
1488522350,73,82
1488550383,98,87
1488561549,75,88
1488591546,103,90
1488608335,72,82
1488636919,91,83
1488648170,83,88
1488672103,102,94
1488694594,77,88
1488724403,97,86
1488735323,72,84
1488766338,93,82
1488781032,72,82
1488810248,93,82
1488820840,76,83
1488852089,99,94
1488867582,85,92
1488898415,116,106
1488908063,90,94
1488938965,110,107
1488953551,93,102
1488983263,120,110
1488993450,97,105
1489024186,112,103
1489039983,93,103
1489070258,104,98
1489079741,92,97
1489110371,114,107
1489126704,98,107
1489155449,109,100
1489166378,88,99
1489196127,114,104
1489212353,95,102
1489240393,114,109
1489253238,88,91
1489283792,107,102
1489299039,85,93
1489327590,99,94
1489335754,95,95
1489359579,106,103
1489382030,95,101
1489411777,107,102
1489421859,85,89
1489451893,99,98
1489468078,87,85
1489497671,95,96
1489508349,86,87
1489537217,96,92
1489554545,88,93
1489583515,109,105
1489595134,98,100
1489625536,103,101
1489641323,91,96
1489669837,99,98
1489680906,92,93
1489709751,101,96
1489727047,83,91
1489755805,101,93
1489767288,88,95
1489797672,100,94
1489814087,89,92
1489843760,102,99
1489854222,90,93
1489881977,102,97
1489900237,90,96
1489929351,101,95
1489940414,82,86
1489967750,99,95
1489986943,89,90
1490016905,100,99
1490027001,87,89
1490052835,96,93
1490073117,94,98
1490103233,100,96
1490113137,88,92
1490143600,96,94
1490160046,88,87
1490183553,104,105
1490199340,93,91
1490229353,100,99
1490245884,93,96
1490274156,103,100
1490285563,97,97
1490314321,103,104
1490332444,95,99
1490361423,103,99
1490372506,92,95
1490394930,101,97
1490418807,91,95
1490447520,94,90
1490458484,83,88
1490487921,89,86
1490505026,83,87
1490534183,88,84
1490544699,79,86
1490574515,96,88
1490591465,82,91
1490619916,83,77
1490631147,77,80
1490660049,93,89
1490677744,90,94
1490706041,101,97
1490717802,88,91
1490747020,100,95
1490763942,87,94
1490791680,92,86
1490804071,74,82
1490832568,102,93
1490851010,81,88
1490878483,85,78
1490890790,82,86
1490916179,96,92
1490937305,81,86
1490965239,91,88
1490977242,77,83
1491000658,99,90
1491023811,89,94
1491051456,97,93
1491062922,85,90
1491091045,95,91
1491109477,76,87
1491137396,97,85
1491149449,85,92
1491177536,113,108
1491196205,99,105
1491223397,108,104
1491235683,91,97
1491264143,100,94
1491283055,84,90
1491309979,100,91
1491322407,93,96
1491350979,103,100
1491368984,90,94
1491396160,102,96
1491408856,80,84
1491437441,92,89
1491455421,105,113
1491482278,91,83
1491494901,83,87
1491523731,89,87
1491541557,83,88
1491568068,102,95
1491581284,84,87
1491610636,92,90
1491629061,115,114
1491655925,85,85
1491667998,91,91
1491697063,86,86
1491714885,76,79
1491742131,93,92
1491753581,84,87
1491783127,93,89
1491800622,82,84
1491828209,95,91
1491840368,89,90
1491868757,92,95
1491887575,85,90
1491915799,92,87
1491927171,78,86
1491956931,89,82
1491974209,83,89
1492002921,87,79
1492014078,71,79
1492037912,94,85
1492061042,116,119
1492088581,85,83
1492099906,81,84
1492129557,92,88
1492146778,87,91
1492173863,92,88
1492186605,81,86
1492215555,94,88
1492233285,84,89
1492260509,86,83
1492272871,78,83
1492301928,89,82
1492319064,82,90
1492347463,105,97
1492358863,82,88
1492388804,97,91
1492405933,87,88
1492434088,96,96
1492445449,89,91
1492474193,99,97
1492491950,108,114
1492521551,96,88
1492531704,76,85
1492560899,88,83
1492578315,78,87
1492607088,93,82
1492618357,77,83
1492647122,86,80
1492664946,81,88
1492694082,87,83
1492705080,72,75
1492735517,90,84
1492752059,75,82
1492775514,98,91
1492791682,87,92
1492821274,101,97
1492838007,87,91
1492865254,98,95
1492878045,87,91
1492906515,104,96
1492924314,96,103
1492952365,102,97
1492963801,90,97
1492992979,100,94
1493010638,86,92
1493038298,103,97
1493051164,97,101
1493079680,112,110
1493097535,99,102
1493119631,107,102
1493137185,93,97
1493160167,103,100
1493183147,87,90
1493211171,97,92
1493223139,92,95
1493252403,105,105
1493270009,93,94
1493296811,102,98
1493310015,86,89
1493332702,95,92
1493356000,97,99
1493383600,92,88
1493396061,74,81
1493424095,93,87
1493442398,86,91
1493469191,92,86
1493482116,83,87
1493509312,98,96
1493529150,83,90
1493556083,113,104
1493568826,98,107
1493597684,120,110
1493615722,104,114
1493642586,124,114
1493655030,107,113
1493683932,120,114
1493701985,102,106
1493729435,120,116
1493741704,104,105
1493768674,119,118
1493788087,109,113
1493814444,118,115
1493828261,104,107
1493856392,116,112
1493874602,107,110
1493901548,117,116
1493914436,96,97
1493942201,113,112
1493961268,96,99
1493987957,100,95
1494001052,86,90
1494028317,106,103
1494047397,97,97
1494074015,109,109
1494086834,97,99
1494114717,106,104
1494133426,99,100
1494160559,108,108
1494174159,92,95
1494196120,117,114
1494220686,102,105
1494243431,111,108
1494260448,101,103
1494282437,113,112
1494307240,103,104
1494328311,108,108
1494346683,101,100
1494370095,114,112
1494393155,101,102
1494420158,106,104
1494433242,89,92
1494455714,107,105
1494479618,96,99
1494506183,98,95
1494519198,91,95
1494546724,105,101
1494565610,96,100
1494591435,105,101
1494605159,89,94
1494631216,105,100
1494652023,94,98
1494677982,108,104
1494692136,92,98
1494719150,114,109
1494738101,99,104
1494764236,112,107
1494778080,98,102
1494805311,114,110
1494824880,104,105
1494849684,115,113
1494864504,97,98
1494891032,112,112
1494911637,94,97
1494937206,110,106
1494951760,92,94
1494972489,111,109
1494997569,100,103
1495023374,101,99
1495037176,90,94
1495063634,103,100
1495083854,92,93
1495109812,99,97
1495123695,86,87
1495151890,99,99
1495170900,89,91
1495196600,96,94
1495210083,86,89
1495236840,103,99
1495256222,88,93
1495282296,101,98
1495296067,91,92
1495323533,105,103
1495342536,92,95
1495368084,106,104
1495382615,88,88
1495410066,109,109
1495429109,91,92
1495453905,106,105
1495468466,96,98
1495495292,113,110
1495514915,102,105
1495535154,105,101
1495554428,87,90
1495575323,106,103
1495601328,92,95
1495621738,105,102
1495640426,98,100
1495661602,109,107
1495687486,96,98
1495707926,107,106
1495727863,94,98
1495754329,114,109
1495774333,101,103
1495795086,104,102
1495814822,96,97
1495840922,112,111
1495861399,106,109
