DateTime,Entries,UniqueIPs
1485390367,144,144
1485411494,143,143
1485434821,144,144
1485451443,144,144
1485475263,142,142
1485498368,143,143
1485520559,143,143
1485537448,141,141
1485561416,143,143
1485584456,144,144
1485607037,143,143
1485623598,144,144
1485648768,141,141
1485670624,144,144
1485693737,143,143
1485710697,143,143
1485734881,142,142
1485757344,143,143
1485796544,143,143
1485826300,143,143
1485842664,143,143
1485870228,142,142
1485882585,143,143
1485912008,142,142
1485929645,143,143
1485957173,145,145
1485969128,144,144
1485998738,144,144
1486015949,142,142
1486046292,142,142
1486055798,142,142
1486085012,140,140
1486102947,139,139
1486127815,144,144
1486142146,141,141
1486170643,142,142
1486188798,138,138
1486216475,143,143
1486228756,139,139
1486258060,143,143
1486275057,140,140
1486301817,144,144
1486314867,139,139
1486343949,140,140
1486361692,139,139
1486388920,144,144
1486401131,139,139
1486431767,143,143
1486447952,138,138
1486476410,143,143
1486487355,137,137
1486516515,142,142
1486534350,136,136
1486563025,143,143
1486574164,137,137
1486604226,142,142
1486621101,135,135
1486649319,141,141
1486661221,137,137
1486691451,142,142
1486707677,138,138
1486737507,143,143
1486747408,136,136
1486774060,143,143
1486793534,137,137
1486823501,145,145
1486834063,138,138
1486863479,143,143
1486879912,136,136
1486909287,145,145
1486920331,137,137
1486951001,144,144
1486966976,135,135
1486990885,142,142
1487006112,135,135
1487035976,142,142
1487052886,134,134
1487080715,144,144
1487092988,140,140
1487118584,142,142
1487138985,135,135
1487168018,145,145
1487178305,137,137
1487207380,145,145
1487225300,142,142
1487254441,144,144
1487265150,140,140
1487295232,143,143
1487311781,137,137
1487340678,145,145
1487351572,138,138
1487381271,145,145
1487398471,135,135
1487427022,142,142
1487438105,135,135
1487467391,144,144
1487484675,139,139
1487514751,145,145
1487525029,137,137
1487554068,144,144
1487571405,142,142
1487600007,145,145
1487611146,140,140
1487641053,144,144
1487657699,139,139
1487686195,145,145
1487697612,142,142
1487726912,143,143
1487743794,137,137
1487773313,142,142
1487784357,132,132
1487813637,141,141
1487829838,128,128
1487860343,144,144
1487870093,138,138
1487898599,145,145
1487916934,141,141
1487944711,144,144
1487956641,139,139
1487986035,142,142
1488003491,138,138
1488030897,143,143
1488042624,135,135
1488071111,143,143
1488089324,140,140
1488117014,144,144
1488128994,137,137
1488157114,143,143
1488176105,137,137
1488204791,145,145
1488216590,133,133
1488245348,143,143
1488262879,132,132
1488288772,143,143
1488302740,129,129
1488332268,144,144
1488349385,130,130
1488372662,144,144
1488388706,134,134
1488417286,144,144
1488435574,134,134
1488464865,141,141
1488475461,133,133
1488504239,140,140
1488522350,131,131
1488550383,142,142
1488561549,129,129
1488591546,142,142
1488608335,132,132
1488636919,140,140
1488648170,135,135
1488672103,143,143
1488694594,132,132
1488724403,143,143
1488735323,131,131
1488766338,142,142
1488781032,132,132
1488810248,143,143
1488820840,136,136
1488852089,141,141
1488867582,134,134
1488898415,144,144
1488908063,140,140
1488938965,143,143
1488953551,134,134
1488983263,144,144
1488993450,136,136
1489024186,145,145
1489039983,135,135
1489070258,141,141
1489079741,136,136
1489110371,143,143
1489126704,134,134
1489155449,143,143
1489166378,132,132
1489196127,142,142
1489212353,135,135
1489240393,140,140
1489253238,137,137
1489283792,142,142
1489299039,134,134
1489327590,139,139
1489335754,139,139
1489359579,142,142
1489382030,136,136
1489411777,141,141
1489421859,137,137
1489451893,138,138
1489468078,140,140
1489497671,139,139
1489508349,138,138
1489537217,142,142
1489554545,137,137
1489583515,141,141
1489595134,139,139
1489625536,141,141
1489641323,136,136
1489669837,137,137
1489680906,136,136
1489709751,141,141
1489727047,133,133
1489755805,141,141
1489767288,134,134
1489797672,140,140
1489814087,137,137
1489843760,140,140
1489854222,137,137
1489881977,142,142
1489900237,136,136
1489929351,142,142
1489940414,138,138
1489967750,142,142
1489986943,141,141
1490016905,142,142
1490027001,140,140
1490052835,143,143
1490073117,139,139
1490103233,143,143
1490113137,139,139
1490143600,141,141
1490160046,142,142
1490183553,141,141
1490199340,143,143
1490229353,144,144
1490245884,141,141
1490274156,144,144
1490285563,144,144
1490314321,143,143
1490332444,139,139
1490361423,143,143
1490372506,140,140
1490394930,144,144
1490418807,140,140
1490447520,144,144
1490458484,139,139
1490487921,142,142
1490505026,138,138
1490534183,142,142
1490544699,135,135
1490574515,143,143
1490591465,134,134
1490619916,140,140
1490631147,137,137
1490660049,141,141
1490677744,137,137
1490706041,141,141
1490717802,138,138
1490747020,143,143
1490763942,136,136
1490791680,142,142
1490804071,134,134
1490832568,143,143
1490851010,136,136
1490878483,143,143
1490890790,139,139
1490916179,143,143
1490937305,138,138
1490965239,141,141
1490977242,135,135
1491000658,144,144
1491023811,139,139
1491051456,143,143
1491062922,138,138
1491091045,142,142
1491109477,131,131
1491137396,143,143
1491149449,136,136
1491177536,141,141
1491196205,135,135
1491223397,139,139
1491235683,133,133
1491264143,139,139
1491283055,133,133
1491309979,142,142
1491322407,139,139
1491350979,142,142
1491368984,138,138
1491396160,144,144
1491408856,140,140
1491437441,143,143
1491455421,135,135
1491482278,143,143
1491494901,139,139
1491523731,141,141
1491541557,136,136
1491568068,143,143
1491581284,140,140
1491610636,142,142
1491629061,143,143
1491655925,143,143
1491667998,143,143
1491697063,143,143
1491714885,140,140
1491742131,141,141
1491753581,138,138
1491783127,142,142
1491800622,140,140
1491828209,144,144
1491840368,143,143
1491868757,140,140
1491887575,135,135
1491915799,140,140
1491927171,132,132
1491956931,139,139
1491974209,133,133
1492002921,141,141
1492014078,133,133
1492037912,142,142
1492061042,139,139
1492088581,141,141
1492099906,138,138
1492129557,142,142
1492146778,138,138
1492173863,142,142
1492186605,137,137
1492215555,143,143
1492233285,138,138
1492260509,141,141
1492272871,136,136
1492301928,143,143
1492319064,135,135
1492347463,143,143
1492358863,137,137
1492388804,143,143
1492405933,142,142
1492434088,142,142
1492445449,140,140
1492474193,142,142
1492491950,136,136
1492521551,144,144
1492531704,135,135
1492560899,140,140
1492578315,131,131
1492607088,142,142
1492618357,136,136
1492647122,142,142
1492664946,135,135
1492694082,139,139
1492705080,136,136
1492735517,142,142
1492752059,135,135
1492775514,142,142
1492791682,137,137
1492821274,141,141
1492838007,137,137
1492865254,140,140
1492878045,136,136
1492906515,144,144
1492924314,137,137
1492952365,142,142
1492963801,135,135
1492992979,141,141
1493010638,135,135
1493038298,141,141
1493051164,137,137
1493079680,139,139
1493097535,136,136
1493119631,141,141
1493137185,137,137
1493160167,140,140
1493183147,137,137
1493211171,142,142
1493223139,139,139
1493252403,139,139
1493270009,138,138
1493296811,142,142
1493310015,139,139
1493332702,142,142
1493356000,140,140
1493383600,144,144
1493396061,137,137
1493424095,143,143
1493442398,138,138
1493469191,144,144
1493482116,140,140
1493509312,142,142
1493529150,135,135
1493556083,144,144
1493568826,135,135
1493597684,145,145
1493615722,135,135
1493642586,145,145
1493655030,139,139
1493683932,145,145
1493701985,141,141
1493729435,145,145
1493741704,144,144
1493768674,145,145
1493788087,141,141
1493814444,144,144
1493828261,141,141
1493856392,145,145
1493874602,142,142
1493901548,143,143
1493914436,142,142
1493942201,143,143
1493961268,140,140
1493987957,145,145
1494001052,141,141
1494028317,144,144
1494047397,144,144
1494074015,144,144
1494086834,142,142
1494114717,144,144
1494133426,143,143
1494160559,143,143
1494174159,140,140
1494196120,143,143
1494220686,140,140
1494243431,143,143
1494260448,141,141
1494282437,142,142
1494307240,141,141
1494328311,141,141
1494346683,142,142
1494370095,144,144
1494393155,143,143
1494420158,145,145
1494433242,142,142
1494455714,144,144
1494479618,141,141
1494506183,144,144
1494519198,140,140
1494546724,144,144
1494565610,140,140
1494591435,144,144
1494605159,139,139
1494631216,144,144
1494652023,140,140
1494677982,144,144
1494692136,138,138
1494719150,143,143
1494738101,138,138
1494764236,143,143
1494778080,139,139
1494805311,143,143
1494824880,142,142
1494849684,144,144
1494864504,143,143
1494891032,143,143
1494911637,140,140
1494937206,144,144
1494951760,142,142
1494972489,144,144
1494997569,141,141
1495023374,143,143
1495037176,139,139
1495063634,142,142
1495083854,141,141
1495109812,143,143
1495123695,142,142
1495151890,142,142
1495170900,140,140
1495196600,142,142
1495210083,139,139
1495236840,143,143
1495256222,138,138
1495282296,141,141
1495296067,140,140
1495323533,142,142
1495342536,139,139
1495368084,141,141
1495382615,141,141
1495410066,141,141
1495429109,140,140
1495453905,141,141
1495468466,139,139
1495495292,142,142
1495514915,139,139
1495535154,143,143
1495554428,140,140
1495575323,143,143
1495601328,140,140
1495621738,143,143
1495640426,141,141
1495661602,143,143
1495687486,141,141
1495707926,142,142
1495727863,138,138
1495754329,143,143
1495774333,141,141
1495795086,143,143
1495814822,142,142
1495840922,143,143
1495861399,140,140
1495886777,144,144
1495901215,139,139
1495928310,143,143
1495947365,140,140
1495973231,144,144
1495987365,140,140
1496015323,143,143
1496034125,139,139
1496061194,145,145
1496073640,135,135
1496100520,145,145
1496120404,139,139
1496146241,145,145
1496159599,140,140
1496185259,145,145
