DateTime,Entries,UniqueIPs
1472613600,12233,12233
1472656800,12452,12452
1472700000,12303,12303
1472743200,13128,13128
1472786400,13117,13117
1472829600,12986,12986
1472872800,12272,12272
1472916000,11365,11365
1472959800,10992,10992
1473003600,9621,9621
1473046800,8436,8436
1473090000,9147,9147
1473133200,10470,10470
1473176400,11898,11898
1473219600,12647,12647
1473262800,11175,11175
1473306000,10355,10355
1473349200,10173,10173
1473392400,9496,9496
1473435600,7976,7976
1473478800,5398,5398
1473522000,6744,6744
1473565200,7161,7161
1473608400,8038,8038
1473651600,7235,7235
1473694800,7409,7409
1473738000,8033,8033
1473781200,9432,9432
1473824400,11290,11290
1473867600,12480,12480
1473910800,14375,14375
1473954000,14975,14975
1473997200,15571,15571
1474040400,19605,19605
1474083600,22669,22669
1474126800,24021,24021
1474170001,24684,24684
1474213200,25411,25411
1474256400,26091,26091
1474299600,27746,27746
1474342801,29368,29368
1474386000,31216,31216
1474429200,33102,33102
1474472400,34914,34914
1474515600,37474,37474
1474558800,39780,39780
1474602000,41911,41911
1474645200,44740,44740
1474688400,45806,45806
1474731600,47673,47673
1474774800,49174,49174
1474818000,50264,50264
1474861800,51032,51032
1474905600,51943,51943
1474948800,55767,55767
1474992001,59293,59293
1475035200,61690,61690
1475078401,63026,63026
1475121601,63656,63656
1475164800,62682,62682
1475208001,60785,60785
1475251200,59823,59823
1475294400,59542,59542
1475337600,57243,57243
1475380800,55569,55569
1475424001,55259,55259
1475467200,55043,55043
1475510401,55377,55377
1475553600,56112,56112
1475596801,56120,56120
1475640000,56132,56132
1475683200,55726,55726
1475726400,55028,55028
1475769601,54384,54384
1475812800,53026,53026
1475856001,51440,51440
1475899800,49395,49395
1475943600,47336,47336
1475987400,46464,46464
1476031200,44928,44928
1476074400,43781,43781
1476118200,43133,43133
1476162000,42702,42702
1476205800,42436,42436
1476249600,38833,38833
1476292800,36568,36568
1476336000,35239,35239
1476379200,34533,34533
1476422400,33338,33338
1476465601,33066,33066
1476508800,32403,32403
1476552000,32130,32130
1476595201,30716,30716
1476638400,30508,30508
1476681600,30399,30399
1476724800,30635,30635
1476768000,30768,30768
1476811200,30483,30483
1476854400,29637,29637
1476898200,29546,29546
1476942000,29851,29851
1476985200,29392,29392
1477028401,29644,29644
1477071600,29530,29530
1477114800,28857,28857
1477158000,29126,29126
1477201200,29154,29154
1477244400,29037,29037
1477287600,29040,29040
1477330800,30205,30205
1477374000,30990,30990
1477417200,31319,31319
1477460400,33235,33235
1477503601,35927,35927
1477546801,36371,36371
1477590000,40197,40197
1477633200,41999,41999
1477676401,45610,45610
1477719600,45746,45746
1477762800,45320,45320
1477806001,45156,45156
1477849201,44927,44927
1477892400,45064,45064
1477935601,46703,46703
1477978800,46185,46185
1478022000,45196,45196
1478065201,44721,44721
1478108400,44134,44134
1478151600,43633,43633
1478194801,42202,42202
1478238601,40531,40531
1478282400,39784,39784
1478325601,38478,38478
1478368801,37364,37364
1478412000,36726,36726
1478455200,35977,35977
1478498400,35418,35418
1478541602,34921,34921
1478584800,34414,34414
1478628000,32748,32748
1478671200,31591,31591
1478714400,30668,30668
1478757600,28121,28121
1478800801,24718,24718
1478844001,23728,23728
1478887200,19296,19296
1478930401,16443,16443
1478973601,12144,12144
1479016800,11109,11109
1479060000,9844,9844
1479103200,8360,8360
1479146401,2394,2394
1479189600,2392,2392
1479232801,2383,2383
1479276000,2392,2392
1479319200,2388,2388
1479362401,2378,2378
1479405601,2379,2379
1479448800,2370,2370
1479492000,2381,2381
1479535200,2386,2386
1479578400,2373,2373
1479621601,2348,2348
1479664800,2338,2338
1479708001,2323,2323
1479751200,2305,2305
1479794400,2306,2306
1479837600,2305,2305
1479880800,2307,2307
1479924001,2304,2304
1479967200,2292,2292
1480010400,2282,2282
1480053601,2288,2288
1480096800,2281,2281
1480140000,2258,2258
1480183200,2199,2199
1480226400,2192,2192
1480269601,2120,2120
1480312801,2074,2074
1480356000,2008,2008
1480399200,2003,2003
1480442400,2004,2004
1480485600,1999,1999
1480528800,1977,1977
1480572001,1980,1980
1480615200,1974,1974
1480658401,1957,1957
1480701604,1966,1966
1480744801,1967,1967
1480788000,1973,1973
1480831200,1973,1973
1480874400,1968,1968
1480917600,1962,1962
1480960800,1956,1956
1481004000,1968,1968
1481047800,1963,1963
1481091600,1954,1954
1481135400,1957,1957
1481179200,1950,1950
1481222401,1979,1979
1481265600,1972,1972
1481308800,1972,1972
1481352000,1972,1972
1481395200,1971,1971
1481438400,1960,1960
1481482201,1971,1971
1481526000,1960,1960
1481569200,1959,1959
1481612400,1972,1972
1481655600,1966,1966
1481698800,1969,1969
1481742000,1952,1952
1481785200,1927,1927
1481828401,1910,1910
1481871600,1915,1915
1481914801,1898,1898
1481958000,1906,1906
1482001200,1909,1909
1482044400,1903,1903
1482087601,1917,1917
1482130800,1912,1912
1482174000,1935,1935
1482217200,1929,1929
1482260404,1923,1923
1482303601,1920,1920
1482346801,1932,1932
1482390000,1931,1931
1482433201,1926,1926
1482477000,1935,1935
1482520800,1921,1921
1482564000,1914,1914
1482607200,1914,1914
1482650400,1907,1907
1482693600,1896,1896
1482736801,1889,1889
1482780001,1887,1887
1482823201,1895,1895
1482866400,1904,1904
1482909600,1929,1929
1482952801,1916,1916
1482996000,1921,1921
1483039201,1923,1923
1483082401,2076,2076
1483125600,2074,2074
1483168800,2067,2067
1483212000,2052,2052
1483255200,2046,2046
1483298401,2036,2036
1483341600,2037,2037
1483384800,2035,2035
1483428000,2049,2049
1483471200,2063,2063
1483514400,2067,2067
1483558200,2068,2068
1483602001,2057,2057
1483645200,2070,2070
1483688400,2068,2068
1483732200,2064,2064
1483776000,2087,2087
1483819200,2091,2091
1483862400,2087,2087
1483906201,2082,2082
1483950001,2079,2079
1483993201,2079,2079
1484036400,2078,2078
1484080201,2082,2082
1484124000,2088,2088
1484167201,2079,2079
1484210400,2072,2072
1484253601,2079,2079
1484297401,2163,2163
1484362800,2178,2178
1484406600,2175,2175
1484450400,2182,2182
1484493600,2161,2161
1484536801,2164,2164
1484580000,2166,2166
1484623200,2188,2188
1484666400,2182,2182
1484709601,2202,2202
1484752801,2196,2196
1484796000,2248,2248
1484839200,2240,2240
1484882400,5607,5607
1484925601,5596,5596
1484968800,9074,9074
1485012000,10252,10252
1485055200,11423,11423
1485098400,12500,12500
1485141600,13399,13399
1485184800,14254,14254
1486102801,25329,25329
1486146000,25994,25994
1486189201,25613,25613
1486232401,25725,25725
1486275600,25232,25232
1486318800,25437,25437
1486362000,24972,24972
1487455200,25027,25027
1487498400,25012,25012
1487541601,25168,25168
1487584800,25158,25158
1487628001,24867,24867
1487671200,24871,24871
1487714401,24647,24647
1487757600,24589,24589
1487800801,25437,25437
1487844000,24570,24570
1487887202,24642,24642
1487930402,24643,24643
1487973602,24183,24183
1488016802,24176,24176
1488060001,24158,24158
1488103201,24150,24150
1488146401,24247,24247
1488189602,24241,24241
1488232802,24055,24055
1488276001,24059,24059
1488319201,23825,23825
1488362402,23829,23829
1488405601,23475,23475
1488448802,23477,23477
1488492001,23284,23284
1488535201,23286,23286
1488578402,23260,23260
1488621602,23254,23254
1488664801,23299,23299
1488708001,23304,23304
1488751202,23364,23364
1488794402,23355,23355
1488837604,23412,23412
1488880801,23413,23413
1488924004,24036,24036
1488967202,23445,23445
1489010401,22910,22910
1489053601,22941,22941
1489096802,22511,22511
1489140001,22512,22512
1489183202,23782,23782
1489226401,23791,23791
1489269601,25916,25916
1489312801,25950,25950
1489356001,25993,25993
1489399201,25979,25979
1489442402,26124,26124
1489485601,26127,26127
1489528801,26086,26086
1489572001,26114,26114
1489615801,26811,26811
1489659601,26814,26814
1489702801,26879,26879
1489746601,26880,26880
1489790401,26657,26657
1489833601,26663,26663
1489876801,26809,26809
1489920001,26808,26808
1489963201,26853,26853
1490006401,26845,26845
1490049601,26953,26953
1490092801,26970,26970
1490136001,27236,27236
1490179201,27227,27227
1490222401,27409,27409
1490265601,27416,27416
1490308801,27646,27646
1490352001,27654,27654
1490395201,27120,27120
1490438401,27119,27119
1490481601,25311,25311
1490524801,25302,25302
1490568001,25322,25322
1490611201,25320,25320
1490654401,25403,25403
1490697601,25416,25416
1490740801,25392,25392
1490784001,25387,25387
1490827201,24644,24644
1490870401,24651,24651
1490913601,24602,24602
1490956801,24613,24613
1491000001,24689,24689
1491043201,24715,24715
1491086401,24558,24558
1491129601,24565,24565
1491172801,24421,24421
1491216001,24426,24426
1491259201,24339,24339
1491302401,24334,24334
1491346801,24109,24109
1491390002,24110,24110
1491433201,23346,23346
1491476401,23350,23350
1491519602,23192,23192
1491563401,23217,23217
1491607201,22811,22811
1491650401,22790,22790
1491693601,22570,22570
1491736801,22578,22578
1491780001,22358,22358
1491823201,22350,22350
1491866401,22136,22136
1491909601,22132,22132
1491952801,21998,21998
1491996601,22091,22091
1492040401,21765,21765
1492083601,22049,22049
1492126801,22056,22056
1492170001,22128,22128
1492213201,21683,21683
1492256401,21689,21689
1492299601,21439,21439
1492342801,21424,21424
1492386001,21236,21236
1492429201,21218,21218
1492472401,21147,21147
1492515601,21148,21148
1492559401,21139,21139
1492603202,21133,21133
1492646401,21789,21789
1492689601,21762,21762
1492732801,23006,23006
1492776001,22998,22998
1492819202,23229,23229
1492862401,23224,23224
1492906201,22937,22937
1492950001,22937,22937
1492993201,22882,22882
1493037001,22878,22878
1493080801,22246,22246
1493124001,22243,22243
1493167201,22420,22420
1493211001,22414,22414
1493254802,22360,22360
1493298002,21634,21634
1493341201,22211,22211
1493384401,21746,21746
1493427602,21439,21439
1493470804,21432,21432
1493514001,21502,21502
1493557801,21494,21494
1493601601,21429,21429
1493645401,21435,21435
1493689201,21295,21295
1493732401,21281,21281
1493775601,21160,21160
1493818801,21142,21142
1493862001,21259,21259
1493905201,21253,21253
1493948401,19651,19651
1493991601,20112,20112
1494034801,19430,19430
1494078001,19416,19416
1494121801,19261,19261
1494165601,19250,19250
1494208801,19373,19373
1494252002,19362,19362
1494295201,19932,19932
1494339001,19922,19922
1494382801,19976,19976
1494426001,19983,19983
1494469201,20757,20757
1494512401,20754,20754
1494555383,20893,20893
1494598577,20889,20889
1494641779,21119,21119
1494684984,21120,21120
1494728179,21268,21268
1494771377,21256,21256
1494836173,21479,21479
1494879382,21772,21772
1494922583,21774,21774
1494965781,21576,21576
1495008986,21573,21573
1495052186,22107,22107
1495095383,21603,21603
1495138582,21778,21778
1495181782,21140,21140
1495224983,20873,20873
1495268178,21125,21125
1495312285,21146,21146
1495355478,21150,21150
1495398683,21818,21818
1495441884,21279,21279
1495485084,21231,21231
1495528281,21241,21241
1495571487,21270,21270
1495614689,21270,21270
1495657890,21208,21208
1495701081,21189,21189
1495744286,20518,20518
1495787481,21166,21166
1495830683,20710,20710
1495873887,20693,20693
1495917079,20715,20715
1495960276,20717,20717
1496003476,20615,20615
1496046673,20614,20614
1496112372,20437,20437
1496155572,20438,20438
1496198773,20682,20682
