DateTime,Entries,UniqueIPs
1495991521,3386,3862
1495992121,3387,3863
1495992722,3385,3860
1495993922,3379,3854
1495994522,3380,3855
1495995722,3370,3845
1495996322,3370,3845
1495998122,3368,3841
1495998721,3367,3840
1495999322,3358,3833
1495999921,3359,3834
1496000522,3360,3835
1496001122,3361,3836
1496001721,3360,3835
1496002922,3356,3831
1496003522,3357,3832
1496004121,3355,3830
1496004721,3356,3831
1496005921,3347,3820
1496006522,3348,3821
1496008922,3351,3824
1496009521,3352,3825
1496010122,3353,3826
1496010722,3354,3827
1496012522,3353,3826
1496013721,3354,3827
1496014922,3354,3827
1496015521,3356,3829
1496016722,3354,3827
1496017321,3352,3825
1496017922,3351,3824
1496018521,3345,3818
1496019122,3343,3816
1496020322,3345,3818
1496020921,3346,3819
1496021521,3343,3814
1496022121,3339,3810
1496022722,3339,3809
1496023922,3340,3810
1496024522,3334,3804
1496025721,3350,3820
1496026322,3349,3819
1496026921,3349,3819
1496027522,3348,3818
1496028122,3350,3821
1496028721,3347,3816
1496029922,3348,3817
1496030521,3344,3813
1496031722,3346,3815
1496032922,3317,3784
1496033522,3317,3784
1496034121,3318,3785
1496034721,3299,3766
1496035322,3298,3765
1496037122,3295,3762
1496037722,3295,3762
1496040122,3275,3740
1496041922,3276,3741
1496043721,3277,3742
1496044321,3280,3747
1496045521,3277,3741
1496046121,3260,3722
1496047322,3258,3720
1496048522,3259,3721
1496051522,3250,3712
1496052121,3248,3710
1496053322,3245,3707
1496055722,3244,3704
1496056922,3244,3703
1496058121,3242,3701
1496058722,3242,3701
1496059322,3243,3700
1496060522,3245,3702
1496061721,3243,3700
1496062921,3242,3699
1496064122,3240,3697
1496065321,3234,3691
1496066521,3225,3682
1496067727,3224,3681
1496068322,3226,3683
1496068922,3227,3684
1496070121,3217,3669
1496071322,3218,3670
1496071921,3222,3674
1496072521,3236,3688
1496073121,3241,3693
1496073721,3229,3681
1496074922,3228,3683
1496075521,3231,3686
1496076122,3250,3705
1496076722,3251,3707
1496077322,3251,3707
1496077922,3252,3708
1496078521,3253,3709
1496079122,3254,3710
1496079721,3258,3714
1496080922,3250,3706
1496081522,3253,3709
1496082122,3254,3710
1496082722,3256,3712
1496083321,3256,3712
1496083921,3257,3715
1496084522,3251,3708
1496085122,3253,3710
1496085722,3255,3712
1496086922,3256,3713
1496088122,3256,3712
1496088722,3259,3715
1496089321,3253,3707
1496090521,3253,3707
1496091122,3252,3708
1496091722,3254,3710
1496092322,3254,3708
1496092921,3254,3704
1496093522,3254,3704
1496094121,3253,3703
1496094722,3256,3707
1496095321,3253,3704
1496095922,3254,3705
1496096521,3254,3705
1496097121,3251,3702
1496097722,3250,3701
1496098321,3251,3701
1496098922,3252,3702
1496100122,3247,3698
1496100721,3249,3700
1496101321,3250,3701
1496102522,3247,3698
1496103121,3249,3700
1496103721,3247,3698
1496106121,3229,3678
1496106721,3223,3672
1496107322,3224,3673
1496108522,3217,3667
1496109721,3215,3665
1496110321,3218,3668
1496110921,3215,3665
1496111522,3214,3663
1496112721,3214,3661
1496113322,3214,3661
1496113922,3211,3658
1496115122,3210,3657
1496115722,3210,3657
1496116922,3209,3656
1496117522,3208,3655
1496118122,3208,3654
1496119321,3198,3640
1496120521,3198,3641
1496121121,3197,3640
1496121722,3189,3630
1496122322,3185,3626
1496123522,3184,3625
1496124121,3183,3624
1496124722,3177,3618
1496126521,3174,3615
1496127122,3173,3614
1496127722,3171,3611
1496128322,3173,3613
1496128922,3172,3613
1496130122,3173,3614
1496130721,3175,3616
1496131322,3171,3614
1496132521,3168,3611
1496133722,3165,3612
1496134321,3154,3596
1496135522,3153,3594
1496136121,3150,3591
1496138521,3146,3587
1496139722,3146,3586
1496140921,3136,3576
1496141522,3131,3571
1496142121,3126,3566
1496143322,3125,3565
1496145721,3117,3557
1496146922,3114,3554
1496147521,3105,3545
1496148122,3109,3549
1496149321,3103,3543
1496150521,3103,3543
1496151121,3102,3542
1496151721,3099,3537
1496152321,3093,3531
1496153522,3093,3531
1496154122,3100,3538
1496155322,3097,3534
1496157122,3092,3529
1496158322,3092,3529
1496159522,3093,3530
1496160122,3094,3529
1496160722,3093,3528
1496161321,3092,3527
1496162522,3093,3528
1496163722,3091,3526
1496164922,3091,3526
1496166121,3090,3525
1496166722,3088,3523
1496167922,3087,3522
1496168522,3087,3521
1496169122,3086,3520
1496169722,3085,3519
1496170922,3077,3510
1496172121,3072,3504
1496173922,3068,3500
1496174522,3062,3494
1496175121,3060,3490
1496176322,3059,3489
1496176921,3057,3487
1496178122,3058,3488
1496178722,3057,3487
1496179322,3060,3490
1496180522,3059,3489
1496181722,3061,3491
1496182322,3049,3479
1496184122,3050,3480
1496184721,3043,3473
1496185322,3046,3476
1496186522,3042,3472
1496187122,3060,3490
1496187721,3061,3491
1496188322,3062,3492
1496188922,3062,3492
1496189521,3061,3491
1496190122,3062,3492
1496190723,3064,3494
1496191322,3089,3519
1496192522,3090,3520
1496193722,3089,3519
1496194322,3088,3518
1496194921,3089,3519
1496196122,3086,3514
1496198522,3090,3518
1496199122,3090,3518
1496200921,3092,3519
1496202121,3084,3511
1496204521,3088,3515
1496206321,3083,3510
1496207521,3086,3513
1496208123,3086,3512
1496209322,3088,3514
1496209922,3078,3504
1496211122,3078,3504
1496211721,3082,3508
1496212322,3070,3496
1496212922,3069,3495
1496214121,3060,3486
1496214722,3057,3483
1496215321,3056,3481
1496215921,3055,3480
1496216522,3053,3478
1496217721,3055,3480
1496220122,3056,3481
1496220721,3057,3482
1496221921,3057,3482
1496222521,3052,3476
1496223721,3053,3477
1496224321,3054,3478
1496226121,3053,3477
1496226721,3054,3478
1496227922,3051,3475
1496228521,3045,3469
1496229122,3045,3469
1496229721,3046,3470
1496230922,3035,3459
1496232122,3037,3461
1496233321,3034,3457
1496233922,3036,3459
1496234521,3028,3451
1496236321,3026,3449
1496236922,3024,3447
1496239322,3025,3448
1496239922,3024,3447
1496241121,3024,3447
1496242321,3027,3450
1496242921,3028,3451
1496244121,3030,3453
1496244722,3028,3451
1496245322,3026,3449
1496246521,3013,3436
1496247121,3015,3437
1496247722,3016,3438
1496248921,3018,3440
1496249521,3020,3442
1496250122,3021,3443
1496251322,3022,3443
1496251921,3024,3445
1496252521,3027,3446
1496253722,3027,3446
1496254322,3028,3447
1496254922,3022,3441
1496256122,3020,3439
1496256722,3020,3439
1496257322,3019,3438
1496257921,3020,3439
1496258521,3018,3437
1496259121,3019,3438
1496259721,3023,3442
1496260921,3012,3430
1496261522,3003,3421
1496263321,2993,3409
1496265122,2990,3406
1496265722,2991,3407
1496268122,2993,3409
1496269321,2996,3409
1496269922,2997,3410
1496270522,3013,3426
1496271121,3016,3429
1496271722,3084,3497
1496272922,3155,3568
1496274122,3149,3562
1496275322,3203,3616
1496275921,3236,3649
1496276522,3260,3673
1496277122,3268,3681
1496277723,3270,3683
1496278321,3268,3681
1496278922,3266,3679
1496280122,3270,3683
1496280721,3321,3734
1496281322,3331,3744
1496282522,3371,3784
1496283122,3426,3839
1496283721,3451,3864
1496284922,3457,3870
1496285522,3459,3875
1496286122,3460,3876
1496286722,3468,3884
1496287322,3513,3929
1496287921,3526,3942
1496288522,3550,3966
1496289122,3552,3968
1496289722,3574,3990
1496290322,3584,4000
1496290922,3587,4003
1496291522,3594,4010
1496292121,3595,4011
1496292722,3601,4017
1496293322,3602,4018
1496293922,3601,4017
1496294521,3604,4020
1496295122,3611,4027
1496295722,3604,4018
1496296322,3606,4020
1496297521,3607,4021
1496298122,3609,4023
1496298721,3615,4029
1496299322,3616,4030
1496299922,3618,4032
1496300522,3612,4027
1496301122,3613,4028
1496301722,3615,4030
1496302322,3616,4031
1496302921,3621,4036
1496303522,3628,4043
1496304122,3630,4045
1496304722,3633,4048
1496305321,3634,4049
1496305922,3629,4043
1496306522,3633,4047
1496307721,3635,4049
1496308921,3633,4047
1496309522,3634,4048
1496310121,3639,4053
1496311321,3640,4054
1496311922,3641,4055
1496312521,3644,4058
1496313121,3646,4060
1496313721,3647,4061
1496314322,3648,4062
1496314922,3649,4063
1496315522,3649,4064
1496317322,3651,4066
1496318522,3649,4064
1496319122,3654,4070
1496319722,3649,4065
1496320921,3650,4066
1496321522,3648,4064
1496322121,3646,4062
1496323322,3644,4060
1496324522,3635,4051
1496325721,3694,4110
1496326322,3694,4110
1496326922,3693,4109
1496328121,3747,4163
1496328722,3748,4164
1496332321,3803,4219
1496334721,3812,4226
1496337122,3805,4222
1496339522,3877,4294
1496341921,3931,4348
1496344922,3939,4356
1496347321,3980,4396
1496350321,3997,4411
1496352722,4011,4422
1496354522,4028,4438
1496355122,4044,4454
1496358121,4066,4476
1496358721,4086,4496
1496359322,4132,4542
1496359922,4143,4553
1496361722,4164,4574
1496362322,4180,4590
1496362921,4184,4593
1496364122,4202,4611
1496364721,4208,4617
1496365322,4235,4644
1496365922,4250,4659
1496366521,4304,4713
1496367722,4323,4732
1496368321,4333,4742
1496369521,4335,4741
1496370122,4390,4796
1496370721,4402,4808
1496371322,4452,4858
1496371922,4466,4872
1496372521,4475,4880
1496373121,4488,4893
1496373722,4494,4899
1496374921,4493,4898
1496376121,4501,4906
1496376721,4504,4909
