DateTime,Entries,UniqueIPs
1495886522,3109,3243
1495887722,3112,3246
1495888321,3115,3249
1495888922,3116,3251
1495889521,3118,3253
1495890122,3119,3254
1495891322,3120,3255
1495891921,3121,3256
1495892521,3123,3258
1495893722,3124,3259
1495894922,3124,3259
1495895522,3127,3262
1495896121,3127,3262
1495897921,3128,3263
1495898522,3125,3260
1495899121,3126,3261
1495900921,3127,3262
1495901521,3126,3261
1495902722,3127,3262
1495903321,3126,3261
1495904521,3127,3262
1495905122,3128,3263
1495905722,3129,3264
1495906921,3128,3263
1495908122,3124,3259
1495909321,3125,3260
1495909921,3124,3259
1495910522,3123,3258
1495911721,3124,3259
1495912921,3122,3257
1495914121,3123,3258
1495914722,3123,3258
1495915321,3120,3255
1495916521,3119,3254
1495918921,3122,3257
1495920121,3122,3257
1495923121,3119,3254
1495924321,3120,3255
1495926121,3132,3267
1495926721,3132,3267
1495927321,3130,3264
1495929721,3124,3259
1495930323,3126,3261
1495930921,3125,3260
1495932122,3124,3259
1495932723,3124,3259
1495933321,3124,3259
1495933922,3125,3260
1495934522,3122,3257
1495936922,3120,3255
1495937522,3117,3252
1495938121,3116,3251
1495940522,3115,3250
1495941121,3113,3248
1495942321,3111,3246
1495942921,3110,3245
1495944122,3111,3246
1495944721,3112,3247
1495946522,3115,3250
1495948921,3114,3249
1495949522,3113,3248
1495950121,3115,3250
1495950721,3113,3248
1495952521,3114,3249
1495953122,3115,3250
1495954322,3116,3251
1495956722,3114,3249
1495957321,3113,3248
1495957923,3116,3251
1495958521,3117,3252
1495959721,3114,3249
1495962722,3115,3250
1495963922,3113,3248
1495964522,3111,3246
1495967521,3110,3245
1495969322,3112,3248
1495970522,3117,3253
1495972323,3122,3258
1495972921,3126,3262
1495975322,3128,3264
1495977122,3128,3264
1495980121,3131,3267
1495982522,3132,3268
1495983121,3131,3267
1495983722,3137,3273
1495984322,3137,3273
1495986722,3135,3270
1495990322,3137,3272
1495990921,3138,3273
1495992722,3139,3274
1495993322,3140,3275
1495995121,3141,3276
1495998122,3134,3269
1495998721,3135,3270
1495999321,3134,3269
1495999921,3136,3271
1496000521,3136,3271
1496001122,3137,3272
1496002922,3138,3273
1496003522,3140,3275
1496005921,3139,3274
1496007722,3140,3275
1496008922,3141,3276
1496009521,3138,3273
1496011321,3139,3274
1496012522,3142,3277
1496013121,3169,3304
1496013721,3169,3304
1496014922,3169,3304
1496015521,3170,3305
1496017321,3169,3304
1496018521,3175,3310
