DateTime,AddedIPs,RemovedIPs
1494376239,87,3085
1494379838,105,0
1494383439,97,0
1494387039,104,0
1494392438,159,0
1494396039,148,0
1494399639,233,0
1494403239,148,0
1494406839,131,0
1494410439,164,0
1494414039,158,0
1494417639,110,0
1494421239,124,0
1494424839,124,0
1494428439,100,0
1494432039,111,0
1494435639,105,0
1494439239,79,0
1494442839,206,0
1494446439,138,0
1494450039,107,0
1494453639,82,0
1494457239,80,0
1494460839,72,3059
1494466239,133,0
1494469839,81,0
1494473440,101,0
1494477039,116,0
1494480639,132,0
1494484239,113,0
1494487839,229,0
1494491439,172,0
1494495039,165,0
1494498639,141,0
1494502239,142,0
1494505839,168,0
1494509439,291,0
1494513040,445,1
1494516639,359,0
1494520239,119,0
1494523839,106,0
1494527439,89,0
1494531040,119,0
1494534639,83,0
1494538240,96,0
1494541839,78,0
1494545439,245,0
1494549039,64,2926
1494552639,83,0
1494556240,180,0
1494559839,276,0
1494563439,84,0
1494567040,107,0
1494570639,125,0
1494574240,183,0
1494577840,129,0
1494581439,132,0
1494585040,102,0
1494588639,129,0
1494592240,124,0
1494595839,137,0
1494599440,99,0
1494603040,91,0
1494606639,88,0
1494610240,107,0
1494613839,110,0
1494617440,89,0
1494621039,89,0
1494624640,83,0
1494628240,112,0
1494631840,91,0
1494635440,98,3833
1494639040,109,0
1494642640,93,0
1494648040,160,0
1494651640,115,0
1494655240,136,0
1494658840,114,0
1494662440,147,0
1494666040,122,0
1494669641,133,0
1494673240,116,0
1494676840,134,0
1494681340,138,0
1494684940,89,0
1494688540,89,0
1494692140,90,0
1494695740,132,0
1494699340,99,0
1494702940,109,0
1494706540,92,0
1494710140,91,0
1494713740,75,0
1494717341,87,0
1494720940,102,2894
1494724540,96,0
1494728140,110,0
1494731740,90,0
1494735340,77,0
1494738940,85,0
1494742540,96,0
1494746140,79,0
1494749740,99,0
1494753340,92,0
1494756940,95,0
1494760540,99,0
1494764140,114,0
1494767740,195,0
1494771340,71,0
1494774940,85,0
1494778540,93,0
1494782140,149,0
1494785741,82,0
1494789341,101,0
1494792941,83,0
1494796541,91,0
1494800141,74,0
1494803740,187,0
1494807340,79,2675
1494810941,95,0
1494814541,85,0
1494818141,84,0
1494821741,92,0
1494825340,128,0
1494828941,129,0
1494832541,160,0
1494836140,167,0
1494839741,148,0
1494843341,133,0
1494846941,114,0
1494850540,143,0
1494854141,176,0
1494857741,133,0
1494861341,99,0
1494864941,111,0
1494868541,177,0
1494872141,116,0
1494875741,102,0
1494879341,101,1
1494882941,74,0
1494886541,92,0
1494890141,96,0
1494893741,84,2490
1494897341,95,0
1494900941,89,0
1494904541,88,0
1494908141,115,0
1494911741,122,0
1494915341,144,0
1494918941,177,0
1494922541,155,0
1494926141,162,0
1494929741,136,0
1494933341,150,0
1494936941,143,0
1494940541,133,0
1494944141,114,0
1494947740,116,0
1494951341,99,0
1494954941,85,0
1494958541,98,0
1494962141,100,0
1494965741,108,0
1494969342,91,0
1494972941,71,0
1494976541,98,0
1494980141,91,2748
1494983741,107,0
1494987341,94,0
1494990941,93,0
1494994541,96,0
1494998141,131,0
1495001742,161,0
1495005341,177,0
1495008941,165,3
1495012541,131,0
1495016141,132,0
1495019741,162,0
1495023341,148,0
1495026941,145,0
1495030542,142,0
1495034141,129,0
1495037742,137,0
1495041342,101,0
1495044941,93,0
1495048541,122,0
1495052141,79,0
1495055741,106,0
1495059341,133,0
1495062942,98,0
1495066542,82,2750
1495070141,106,0
1495073741,108,0
1495077342,88,0
1495080942,140,0
1495084541,116,0
1495088142,122,0
1495091742,161,0
1495095342,189,0
1495098941,166,0
1495102542,151,0
1495106141,160,0
1495109741,168,0
1495113342,267,0
1495116942,127,0
1495120542,129,0
1495124141,119,0
1495127742,93,0
1495131341,86,0
1495134941,82,0
1495138542,70,0
1495142141,126,0
1495145742,81,0
1495149341,151,0
1495152942,187,2862
1495156542,94,0
1495160142,118,0
1495163742,91,0
1495167342,111,0
1495170942,117,0
1495174542,131,0
1495178142,245,0
1495181742,595,0
1495185342,101,0
1495188942,110,0
1495192542,135,0
1495196142,152,0
1495199742,170,0
1495203342,191,0
1495206942,121,0
1495210542,73,0
1495214142,118,0
1495217742,107,0
1495221342,107,0
1495224942,99,0
1495228542,97,0
1495232142,84,0
1495235742,118,0
1495239342,131,3276
1495242942,153,0
1495246542,186,0
1495250142,102,0
1495253742,152,0
1495257342,138,0
1495260942,118,0
1495264542,167,0
1495268143,193,1
1495271742,133,0
1495275342,116,0
1495278942,147,0
1495282542,132,0
1495286143,168,0
1495289742,138,0
1495293342,73,0
1495296943,88,0
1495300542,132,0
1495304142,98,0
1495307742,93,0
1495311342,127,0
1495314942,114,0
1495318542,104,0
1495322142,87,0
1495325742,101,3380
1495329342,89,0
1495332943,89,0
1495336543,72,0
1495340142,85,0
1495343743,109,0
1495347342,102,0
1495350942,115,0
1495354542,100,0
1495358142,111,0
1495361742,113,0
1495365343,121,0
1495368942,90,0
1495372542,97,0
1495376142,153,0
1495379743,155,0
1495383342,97,0
1495386943,116,0
1495390543,98,0
1495394143,83,0
1495397743,95,0
1495401343,112,0
1495406743,174,0
1495411243,214,3075
1495414843,203,0
1495418443,99,0
1495422042,111,0
1495425642,157,1
1495429243,132,0
1495432843,118,0
1495436443,184,0
1495440044,143,0
1495443643,155,0
1495447243,188,0
1495450843,143,1
1495454443,168,0
1495458043,161,0
1495461643,161,0
1495465243,137,0
1495468843,102,0
1495472443,144,0
1495476043,103,0
1495479643,131,0
1495483243,111,0
1495486843,116,0
1495490443,100,0
1495494043,113,0
1495497643,95,2625
1495501243,92,0
1495504843,110,0
1495508444,110,0
1495512043,138,0
1495515643,90,0
1495519244,134,0
1495522843,149,0
1495526443,163,0
1495530043,143,0
1495533643,163,0
1495537243,167,0
1495540843,169,0
1495544443,133,0
1495548044,118,0
1495551644,110,0
1495555243,127,0
1495558843,105,1
1495564243,139,0
1495567843,205,0
1495571444,96,0
1495575044,93,0
1495578643,89,0
1495582244,81,0
1495585844,82,3186
1495589443,91,0
1495593044,85,0
1495596643,76,0
1495602043,142,0
1495605643,162,0
1495609244,176,0
1495612844,167,0
1495616443,181,0
1495620043,177,0
1495623644,152,0
1495627244,145,0
1495630844,137,0
1495634443,136,0
1495638044,120,0
1495641644,120,0
1495645244,108,0
1495648844,111,0
1495652444,90,0
1495656044,107,0
1495659644,146,0
1495663244,82,0
1495666844,95,0
1495670444,73,2995
1495674044,114,0
1495677644,115,0
1495681244,119,0
1495684844,102,0
1495688444,182,0
1495692044,157,0
1495695644,172,0
1495699245,185,0
1495702844,174,0
1495706444,115,0
1495710044,141,0
1495713644,161,0
1495717244,123,0
1495720844,167,0
1495724444,170,0
1495728044,117,0
1495731644,114,0
1495735244,109,0
1495738845,109,0
1495742444,99,0
1495746044,114,0
1495749644,103,0
1495753244,102,0
1495756844,85,3051
1495760444,106,0
1495764044,109,0
1495767644,91,0
1495771244,94,0
1495774844,145,0
1495778444,148,0
1495782044,148,0
1495785644,166,0
1495789245,148,0
1495792845,151,0
1495796444,162,0
1495800044,121,0
1495803645,173,0
1495807244,165,0
1495810845,148,0
1495814444,123,0
1495818044,105,0
1495821644,114,0
1495825245,125,0
1495828845,90,0
1495832444,86,0
1495836044,100,0
1495839645,98,0
1495843244,84,3101
1495846845,115,0
1495850444,277,0
1495854045,126,0
1495857645,103,0
1495861245,144,0
1495864845,111,0
1495868444,136,0
1495872045,149,0
1495875644,128,0
1495879244,169,0
1495882844,134,0
1495886445,122,0
1495890044,135,0
1495893645,108,0
1495897245,108,0
1495900845,110,0
1495904445,108,0
1495908045,84,0
1495911645,92,0
1495915244,108,0
1495918845,134,0
1495922445,107,0
1495926045,81,0
1495929645,80,2958
1495933245,124,0
1495936844,109,0
1495940445,95,0
1495944045,108,0
1495947645,99,0
1495951245,83,0
1495954845,107,0
1495958445,133,0
1495962045,119,0
1495965645,102,0
1495969245,97,0
1495972845,100,0
1495976446,103,0
1495980045,84,0
1495983645,100,0
1495987245,97,0
1495990845,96,0
1495994445,79,0
1495998045,90,0
1496001645,92,0
1496005245,87,0
1496008845,62,0
1496012445,78,0
1496016045,77,3100
1496019645,112,0
1496023245,101,0
1496026845,123,0
1496030445,122,0
1496034046,118,0
1496037646,125,0
1496041246,196,0
1496044846,219,0
1496048445,150,0
1496052045,266,0
1496055645,341,0
1496059246,141,0
1496062845,143,0
1496066445,109,0
1496070045,102,0
1496073645,158,0
1496077246,123,0
1496080845,135,0
1496084445,95,0
