DateTime,Entries,UniqueIPs
1494336638,6425,6425
1494340239,6577,6577
1494343839,6705,6705
1494347439,6823,6823
1494351039,6922,6922
1494354639,7012,7012
1494358239,7094,7094
1494361839,7171,7171
1494365438,7270,7270
1494369039,7370,7370
1494372639,7465,7465
1494376239,4467,4467
1494379838,4572,4572
1494383439,4669,4669
1494387039,4773,4773
1494392438,4932,4932
1494396039,5080,5080
1494399639,5313,5313
1494403239,5461,5461
1494406839,5592,5592
1494410439,5756,5756
1494414039,5914,5914
1494417639,6024,6024
1494421239,6148,6148
1494424839,6272,6272
1494428439,6372,6372
1494432039,6483,6483
1494435639,6588,6588
1494439239,6667,6667
1494442839,6873,6873
1494446439,7011,7011
1494450039,7118,7118
1494453639,7200,7200
1494457239,7280,7280
1494460839,4293,4293
1494466239,4426,4426
1494469839,4507,4507
1494473440,4608,4608
1494477039,4724,4724
1494480639,4856,4856
1494484239,4969,4969
1494487839,5198,5198
1494491439,5370,5370
1494495039,5535,5535
1494498639,5676,5676
1494502239,5818,5818
1494505839,5986,5986
1494509439,6277,6277
1494513040,6721,6721
1494516639,7080,7080
1494520239,7199,7199
1494523839,7305,7305
1494527439,7394,7394
1494531040,7513,7513
1494534639,7596,7596
1494538240,7692,7692
1494541839,7770,7770
1494545439,8015,8015
1494549039,5153,5153
1494552639,5236,5236
1494556240,5416,5416
1494559839,5692,5692
1494563439,5776,5776
1494567040,5883,5883
1494570639,6008,6008
1494574240,6191,6191
1494577840,6320,6320
1494581439,6452,6452
1494585040,6554,6554
1494588639,6683,6683
1494592240,6807,6807
1494595839,6944,6944
1494599440,7043,7043
1494603040,7134,7134
1494606639,7222,7222
1494610240,7329,7329
1494613839,7439,7439
1494617440,7528,7528
1494621039,7617,7617
1494624640,7700,7700
1494628240,7812,7812
1494631840,7903,7903
1494635440,4168,4168
1494639040,4277,4277
1494642640,4370,4370
1494648040,4530,4530
1494651640,4645,4645
1494655240,4781,4781
1494658840,4895,4895
1494662440,5042,5042
1494666040,5164,5164
1494669641,5297,5297
1494673240,5413,5413
1494676840,5547,5547
1494681340,5685,5685
1494684940,5774,5774
1494688540,5863,5863
1494692140,5953,5953
1494695740,6085,6085
1494699340,6184,6184
1494702940,6293,6293
1494706540,6385,6385
1494710140,6476,6476
1494713740,6551,6551
1494717341,6638,6638
1494720940,3846,3846
1494724540,3942,3942
1494728140,4052,4052
1494731740,4142,4142
1494735340,4219,4219
1494738940,4304,4304
1494742540,4400,4400
1494746140,4479,4479
1494749740,4578,4578
1494753340,4670,4670
1494756940,4765,4765
1494760540,4864,4864
1494764140,4978,4978
1494767740,5173,5173
1494771340,5244,5244
1494774940,5329,5329
1494778540,5422,5422
1494782140,5571,5571
1494785741,5653,5653
1494789341,5754,5754
1494792941,5837,5837
1494796541,5928,5928
1494800141,6002,6002
1494803740,6189,6189
1494807340,3593,3593
1494810941,3688,3688
1494814541,3773,3773
1494818141,3857,3857
1494821741,3949,3949
1494825340,4077,4077
1494828941,4206,4206
1494832541,4366,4366
1494836140,4533,4533
1494839741,4681,4681
1494843341,4814,4814
1494846941,4928,4928
1494850540,5071,5071
1494854141,5247,5247
1494857741,5380,5380
1494861341,5479,5479
1494864941,5590,5590
1494868541,5767,5767
1494872141,5883,5883
1494875741,5985,5985
1494879341,6085,6085
1494882941,6159,6159
1494886541,6251,6251
1494890141,6347,6347
1494893741,3941,3941
1494897341,4036,4036
1494900941,4125,4125
1494904541,4213,4213
1494908141,4328,4328
1494911741,4450,4450
1494915341,4594,4594
1494918941,4771,4771
1494922541,4926,4926
1494926141,5088,5088
1494929741,5224,5224
1494933341,5374,5374
1494936941,5517,5517
1494940541,5650,5650
1494944141,5764,5764
1494947740,5880,5880
1494951341,5979,5979
1494954941,6064,6064
1494958541,6162,6162
1494962141,6262,6262
1494965741,6370,6370
1494969342,6461,6461
1494972941,6532,6532
1494976541,6630,6630
1494980141,3973,3973
1494983741,4080,4080
1494987341,4174,4174
1494990941,4267,4267
1494994541,4363,4363
1494998141,4494,4494
1495001742,4655,4655
1495005341,4832,4832
1495008941,4994,4994
1495012541,5125,5125
1495016141,5257,5257
1495019741,5419,5419
1495023341,5567,5567
1495026941,5712,5712
1495030542,5854,5854
1495034141,5983,5983
1495037742,6120,6120
1495041342,6221,6221
1495044941,6314,6314
1495048541,6436,6436
1495052141,6515,6515
1495055741,6621,6621
1495059341,6754,6754
1495062942,6852,6852
1495066542,4184,4184
1495070141,4290,4290
1495073741,4398,4398
1495077342,4486,4486
