DateTime,AddedIPs,RemovedIPs
1493627401,5,8
1493634001,5,3
1493641201,5,4
1493645401,0,2
1493649001,8,3
1493652001,0,1
1493653201,0,693
1493655601,6,6
1493659202,0,1
1493662801,8,4
1493665801,1,0
1493668201,1,0
1493670001,539,4
1493673601,0,1
1493677201,9,3
1493684401,6,1
1493688001,0,1
1493691601,2,6
1493698801,7,5
1493703001,0,3
1493706001,2,5
1493710801,0,1
1493713201,5,1
1493720401,2,6
1493721601,0,1
1493727601,2,4
1493731201,0,1
1493732401,0,1
1493734801,3,5
1493736601,4,0
1493742001,7,5
1493747401,629,745
1493749201,7,5
1493752801,0,1
1493756401,4,6
1493761201,0,1
1493764201,5,3
1493770801,6,1
1493772001,0,13
1493774401,0,1
1493778001,4,7
1493781601,0,1
1493785201,5,2
1493792401,1,5
1493799601,2,6
1493804401,0,1
1493806801,4,7
1493810401,0,2
1493814001,2,5
1493821201,4,6
1493824801,0,1
1493828401,6,3
1493829601,0,804
1493835601,4,1
1493836801,808,0
1493842801,2,5
1493846401,0,1
1493850001,3,5
1493857201,11,4
1493858401,109,0
1493864401,1,6
1493871601,7,5
1493878801,5,6
1493886001,5,4
1493893801,5,8
1493894401,0,1
1493900401,6,3
1493901601,0,1
1493902201,0,1
1493907601,5,14
1493914801,5,6
1493916600,0,2194
1493922001,6,6
1493925001,0,1
1493925601,0,1
1493928601,609,0
1493929201,3,8
1493932201,0,1
1493936401,6,6
1493940001,0,1
1493943601,4,2
1493950801,2,4
1493958001,4,4
1493965201,4,4
1493972401,4,2
1493979601,2,0
1493985001,454,0
1493986801,6,1
1493993401,0,1
1493994001,5,14
1494001201,6,6
1494003001,0,1002
1494008401,3,5
1494009601,0,1
1494011401,0,2
1494012001,1,0
1494015601,4,2
1494022801,3,6
1494024601,336,0
1494030001,4,5
1494037201,5,9
1494044401,4,4
1494048001,0,2
1494051601,4,5
1494058801,4,4
1494062401,0,1
1494066001,4,4
1494073201,1,7
1494080401,8,7
1494085801,0,675
1494087601,3,5
1494090601,0,1
1494092401,524,0
1494094801,4,5
1494098401,1,1
1494102001,4,9
1494109806,3,6
1494116401,9,2
1494117601,0,1
1494120001,1,0
1494123601,3,5
1494127201,0,1
1494130801,5,6
1494138001,0,6
1494145201,3,2
1494148801,0,2
1494152401,6,9
1494159601,5,2
1494166801,3,4
1494174001,13,5
1494175201,0,648
1494181201,6,7
1494189001,3,3
1494192001,0,1
1494195601,4,3
1494199201,763,0
1494202801,4,2
1494210001,5,7
1494213601,0,1
1494217201,3,2
1494224401,4,4
1494228001,0,1
1494231601,2,7
1494232801,0,1
1494235201,0,1
1494238801,4,2
1494246001,2,5
1494253201,2,2
1494254401,0,1
1494261001,5,6
1494262201,589,0
1494267601,3,6
1494270601,0,4
1494271201,0,1
1494274801,4,3
1494278401,0,1
1494282001,2,7
1494283801,0,1
1494289201,2,4
1494292801,0,1
1494296401,5,5
1494303601,4,5
1494307801,0,1
1494310801,2,3
1494318001,3,9
1494325206,4,2
1494328801,0,1
1494332401,3,5
1494339601,7,3
1494346801,8,671
1494348001,0,2
1494354001,722,6
1494361201,5,2
1494368401,6,6
1494376201,2,4
1494382801,4,6
1494386401,0,2
1494390001,6,4
1494397201,3,2
1494404401,5,5
1494408001,0,1
1494411601,4,1
1494418801,4,6
1494426001,8,2
1494433201,7,5
1494435001,781,1
1494440401,3,9
1494447601,3,5
1494454801,5,2
1494462001,3,6
1494469201,4,4
1494476401,4,3
1494480001,0,1
1494483601,4,4
1494484801,0,2
1494490801,4,11
1494498001,7,1
1494505201,3,2
1494512401,3,4
1494603084,672,1079
1494605782,5,4
1494607580,779,0
1494611179,0,1
1494612100,1,0
1494612980,2,9
1494616583,0,1
1494620179,7,5
1494627376,4,1
1494630980,0,1
1494634582,4,6
1494641779,2,4
1494648973,5,6
1494652578,0,1
1494656176,5,3
1494663376,6,6
1494666979,0,1
1494671474,6,4
1494675982,1,0
1494677778,4,3
1494684984,4,6
1494692176,6,3
1494693980,650,0
1494699376,5,3
1494705689,0,497
1494706580,3,5
1494713777,5,14
1494720980,3,4
1494726378,0,1
1494728179,6,3
1494735381,4,8
1494742577,2,5
1494746179,1,0
1494749775,7,5
1494756975,5,3
1494764179,4,4
1494771377,4,14
1494775876,0,1
1494778573,8,2
1494779499,719,0
1494780386,3,0
1494782181,0,2
1494785780,8,496
1494792980,5,6
1494800176,6,6
1494808275,4,6
1494814576,2,3
1494821772,4,7
1494828978,3,11
1494832574,0,1
1494836173,5,3
1494843373,5,5
1494847875,0,1
1494850577,2,7
1494857804,4,4
1494864980,1,8
1494866775,617,0
1494872176,5,6
1494879382,5,315
1494886587,9,7
1494893790,4,2
1494900981,5,5
1494905479,0,1
1494908195,9,6
1494915382,2,8
1494922583,6,4
1494929781,8,6
1494933381,2,0
1494936982,6,6
1494944183,4,2
1494949580,0,1
1494951381,3,6
1494953185,398,0
1494956778,0,600
1494958585,7,2
1494965781,4,7
1494972982,6,6
1494980181,1,1
1494987384,4,3
1494994603,5,6
1495001781,4,6
1495008986,3,4
1495016182,2,4
1495023384,4,7
1495030582,5,5
1495035083,0,1
1495037787,4,4
1495039586,633,0
1495044985,1,7
1495045886,0,89
1495052186,5,3
1495057583,3,0
1495059393,5,3
1495066584,4,4
1495067491,0,492
1495070184,0,1
1495073788,0,5
1495080985,3,10
1495088190,3,6
1495095383,3,4
1495102585,4,2
1495109789,2,1
1495116986,5,4
1495122385,527,0
1495124189,6,5
1495125992,33,0
1495131381,5,4
1495132286,0,1
1495135890,0,7
1495137697,0,385
1495138582,7,5
1495145788,7,1
1495152984,5,33
1495153885,0,616
1495160182,6,7
1495167381,4,5
1495174584,4,2
1495181782,2,2
1495188986,8,4
1495194381,0,279
1495196180,3,2
1495203384,9,3
1495210586,3,5
1495212380,0,2
1495214186,1,0
1495215080,0,19
1495217779,6,6
1495224983,25,2
1495232183,11,5
1495233984,0,402
1495235797,2,0
1495236681,644,0
1495239381,4,2
1495246587,5,5
1495253791,7,6
1495260986,1,6
1495268178,7,3
1495275388,1,4
1495282585,13,5
1495289785,4,4
1495293383,1,0
1495296986,2,6
1495298782,0,2
1495301481,0,575
1495304182,595,3
1495311385,6,2
1495318583,6,5
1495325788,15,5
1495332981,2,8
1495340178,5,4
1495347387,4,6
1495354584,4,4
1495361787,6,3
1495368984,21,7
1495376184,1,3
1495383388,5,3
1495389705,652,0
1495390582,3,4
1495397780,5,5
1495406787,4,3
1495409481,0,537
1495412190,5,4
1495419382,1,5
1495426589,3,5
1495430181,1,0
1495433779,3,6
1495440978,7,3
1495448181,4,4
1495455387,5,5
1495458099,1,0
1495462579,4,2
1495469784,3,7
1495471581,0,519
1495476101,471,0
1495476988,2,2
1495484204,6,5
1495491385,10,5
1495498589,5,0
1495505791,2,6
1495512978,5,4
1495516580,1,0
1495517479,0,1
1495520184,3,3
1495521092,0,1
1495527384,5,1
1495534586,2,4
1495541783,4,2
1495548983,2,4
1495556182,5,3
1495559785,588,0
1495563386,3,566
1495570584,6,2
1495577792,13,5
1495584987,4,3
1495588580,0,1
1495592181,2,5
1495599385,4,5
1495606582,4,6
1495609301,1,0
1495613787,3,6
1495620979,4,2
1495628178,5,6
1495635385,3,2
1495642585,4,9
1495643509,381,106
1495644378,378,717
1495649779,4,3
1495656994,7,3
1495664185,6,4
1495671383,3,5
1495678584,3,5
1495685782,4,5
1495692981,1,7
1495693889,0,1
1495700187,3,12
1495707382,3,4
1495714585,4,7
1495721785,4,11
1495725386,1,0
1495728987,3,6
1495729882,0,656
1495736187,6,4
1495743383,3,7
1495750582,11,4
1495757782,5,2
1495764090,0,1
1495764990,6,6
1495772182,5,3
1495775784,636,0
1495779381,4,5
1495786582,5,3
1495793786,6,7
1495800980,1,2
1495803695,0,1
1495808182,1,3
1495814510,295,0
1495815388,4,4
1495817185,0,743
1495822581,3,8
1495829779,6,4
1495836979,2,4
1495844180,3,7
1495850494,0,1
1495851378,5,8
1495858581,4,9
1495865777,3,6
1495872981,4,3
1495880177,3,5
1495887375,4,5
1495894576,6,3
1495901781,3,4
1495902680,700,1
1495903578,0,671
1495908979,8,9
1495909882,0,1
1495916173,3,6
1495923374,5,0
1495930575,3,2
1495937770,3,4
1495943174,0,2
1495944976,2,4
1495952176,7,5
1495959373,5,6
1495966575,3,3
1495973771,2,5
1495980977,5,1
1495985473,0,3
1495988183,6,5
1495989086,0,793
1495989975,691,0
1495995370,5,5
1496002577,6,5
1496009771,3,3
1496016979,1,6
1496024171,4,5
1496031372,5,2
1496038574,5,3
1496045773,5,5
1496052970,4,4
1496060173,6,7
1496067374,5,2
1496074582,4,4
1496075486,1,0
1496076370,464,643
1496081775,4,4
1496088086,0,1
1496088978,5,1
1496096172,3,5
1496103388,7,5
1496110577,0,4
1496117772,5,5
1496124972,4,5
1496132176,1,2
1496139371,5,2
1496146574,4,5
1496153772,7,6
1496160986,13,4
1496161884,630,38
1496162774,103,466
1496168172,3,4
1496175377,7,2
