DateTime,Entries,UniqueIPs
1493634001,21436,21436
1493641201,21437,21437
1493645401,21435,21435
1493649001,21440,21440
1493652001,21439,21439
1493653201,20746,20746
1493655601,20746,20746
1493659202,20745,20745
1493662801,20749,20749
1493665801,20750,20750
1493668201,20751,20751
1493670001,21286,21286
1493673601,21285,21285
1493677201,21291,21291
1493684401,21296,21296
1493688001,21295,21295
1493691601,21291,21291
1493698801,21293,21293
1493703001,21290,21290
1493706001,21287,21287
1493710801,21286,21286
1493713201,21290,21290
1493720401,21286,21286
1493721601,21285,21285
1493727601,21283,21283
1493731201,21282,21282
1493732401,21281,21281
1493734801,21279,21279
1493736601,21283,21283
1493742001,21285,21285
1493747401,21169,21169
1493749201,21171,21171
1493752801,21170,21170
1493756401,21168,21168
1493761201,21167,21167
1493764201,21169,21169
1493770801,21174,21174
1493772001,21161,21161
1493774401,21160,21160
1493778001,21157,21157
1493781601,21156,21156
1493785201,21159,21159
1493792401,21155,21155
1493799601,21151,21151
1493804401,21150,21150
1493806801,21147,21147
1493810401,21145,21145
1493814001,21142,21142
1493821201,21140,21140
1493824801,21139,21139
1493828401,21142,21142
1493829601,20338,20338
1493835601,20341,20341
1493836801,21149,21149
1493842801,21146,21146
1493846401,21145,21145
1493850001,21143,21143
1493857201,21150,21150
1493858401,21259,21259
1493864401,21254,21254
1493871601,21256,21256
1493878801,21255,21255
1493886001,21256,21256
1493893801,21253,21253
1493894401,21252,21252
1493900401,21255,21255
1493901601,21254,21254
1493902201,21253,21253
1493907601,21244,21244
1493914801,21243,21243
1493916600,19049,19049
1493922001,19049,19049
1493925001,19048,19048
1493925601,19047,19047
1493928601,19656,19656
1493929201,19651,19651
1493932201,19650,19650
1493936401,19650,19650
1493940001,19649,19649
1493943601,19651,19651
1493950801,19649,19649
1493958001,19649,19649
1493965201,19649,19649
1493972401,19651,19651
1493979601,19653,19653
1493985001,20107,20107
1493986801,20112,20112
1493993401,20111,20111
1493994001,20102,20102
1494001201,20102,20102
1494003001,19100,19100
1494008401,19098,19098
1494009601,19097,19097
1494011401,19095,19095
1494012001,19096,19096
1494015601,19098,19098
1494022801,19095,19095
1494024601,19431,19431
1494030001,19430,19430
1494037201,19426,19426
1494044401,19426,19426
1494048001,19424,19424
1494051601,19423,19423
1494058801,19423,19423
1494062401,19422,19422
1494066001,19422,19422
1494073201,19416,19416
1494080401,19417,19417
1494085801,18742,18742
1494087601,18740,18740
1494090601,18739,18739
1494092401,19263,19263
1494094801,19262,19262
1494098401,19262,19262
1494102001,19257,19257
1494109806,19254,19254
1494116401,19261,19261
1494117601,19260,19260
1494120001,19261,19261
1494123601,19259,19259
1494127201,19258,19258
1494130801,19257,19257
1494138001,19251,19251
1494145201,19252,19252
1494148801,19250,19250
1494152401,19247,19247
1494159601,19250,19250
1494166801,19249,19249
1494174001,19257,19257
1494175201,18609,18609
1494181201,18608,18608
1494189001,18608,18608
1494192001,18607,18607
1494195601,18608,18608
1494199201,19371,19371
1494202801,19373,19373
1494210001,19371,19371
1494213601,19370,19370
1494217201,19371,19371
1494224401,19371,19371
1494228001,19370,19370
1494231601,19365,19365
1494232801,19364,19364
1494235201,19363,19363
1494238801,19365,19365
1494246001,19362,19362
1494253201,19362,19362
1494254401,19361,19361
1494261001,19360,19360
1494262201,19949,19949
1494267601,19946,19946
