DateTime,Entries,UniqueIPs
1494291732,1949,2035
1494295392,1951,2038
1494298993,1953,2040
1494302533,1950,2037
1494313332,1948,2035
1494316992,1949,2036
1494320592,1946,2033
1494324196,1945,2032
1494327734,1947,2034
1494331394,1944,2031
1494334994,1945,2032
1494338535,1947,2034
1494342195,1945,2032
1494345795,1950,2037
1494349335,1951,2038
1494352995,1950,2037
1494356596,1952,2039
1494360195,1952,2039
1494363795,1955,2042
1494367396,1956,2043
1494370935,1956,2043
1494374595,1955,2042
1494378196,1957,2044
1494381796,1957,2044
1494385395,1958,2045
1494388936,1957,2044
1494392595,1958,2044
1494396195,1959,2043
1494399736,1962,2046
1494403336,1962,2046
1494406935,1963,2047
1494410596,1964,2048
1494414196,1964,2048
1494417796,1962,2046
1494421336,1960,2044
1494424996,1964,2048
1494428536,1965,2049
1494432196,1967,2051
1494435797,1968,2052
1494442996,1963,2047
1494446597,1965,2049
1494450137,1957,2041
1494453797,1959,2043
1494460996,1956,2040
1494464597,1955,2039
1494468197,1956,2040
1494471797,1957,2040
1494475397,1954,2036
1494478997,1954,2037
1494482537,1955,2038
1494486137,1957,2040
1494489737,1955,2038
1494493397,1957,2041
1494496998,1959,2043
1494500598,1961,2045
1494504197,1959,2043
1494511398,1958,2041
1494514937,1959,2042
1494518598,1960,2043
1494522198,1954,2037
1494525798,1955,2038
1494529338,1953,2036
1494532998,1952,2035
1494536538,1950,2033
1494543798,1949,2032
1494547398,1949,2032
1494550938,1950,2033
1494554598,1947,2030
1494558139,1945,2028
1494565399,1943,2026
1494568999,1944,2027
1494572538,1944,2027
1494576199,1943,2026
1494579798,1945,2028
1494583338,1945,2028
1494590538,1944,2027
1494594139,1946,2029
1494597739,1948,2031
1494601400,1948,2032
1494604999,1949,2033
1494608599,1947,2031
1494612139,1949,2033
1494615799,1950,2033
1494619340,1949,2032
1494622999,1948,2031
1494626599,1950,2033
1494630199,1951,2034
1494633739,1952,2035
1494641000,1948,2031
1494644600,1949,2032
1494648139,1950,2033
1494651740,1951,2034
1494655400,1951,2034
1494659001,1951,2033
1494662542,1953,2035
1494666201,1957,2039
1494669801,1957,2039
1494673341,1958,2040
1494677001,1957,2039
1494684201,1960,2042
1494687741,1956,2038
1494691401,1959,2041
1494695003,1961,2043
1494698541,1956,2038
1494702202,1959,2041
1494705802,1956,2038
1494709402,1958,2040
1494710015,1957,2038
1494716542,1959,2040
1494720142,1958,2039
1494723801,1959,2040
1494727401,1959,2039
1494731002,1960,2040
1494734601,1960,2040
1494738141,1956,2036
1494741742,1955,2035
1494745402,1958,2038
1494748942,1959,2039
1494752603,1960,2040
1494756202,1955,2036
1494759743,1956,2037
1494766944,1957,2038
1494770543,1954,2035
1494774143,1955,2036
1494777743,1956,2037
1494781343,1958,2039
1494785003,1962,2043
1494788604,1961,2042
1494792202,1960,2041
1494795803,1961,2042
1494799403,1962,2043
1494803003,1964,2045
1494806602,1966,2047
1494810202,1965,2046
1494813742,1963,2044
1494817403,1960,2041
1494821004,1960,2042
1494824604,1958,2040
1494828144,1960,2042
1494831744,1955,2037
1494835343,1957,2039
1494839003,1957,2039
1494842604,1958,2034
1494846203,1954,2028
1494849743,1953,2027
1494853404,1955,2029
1494857003,1956,2030
1494860603,1956,2030
1494864144,1955,2029
1494867743,1956,2030
1494874945,1957,2031
1494878603,1958,2032
1494882145,1959,2033
1494885745,1963,2037
1494889404,1964,2038
1494892945,1965,2039
1494896544,1965,2039
1494900144,1966,2040
1494903805,1967,2041
1494907405,1968,2042
1494914605,1969,2043
1494918145,1964,2038
1494921804,1965,2039
1494925405,1968,2042
1494929005,1971,2045
1494932605,1971,2045
1494936144,1973,2047
1494939806,1970,2044
1494943346,1969,2043
1494947006,1968,2042
1494950545,1969,2043
1494954145,1971,2045
1494957806,1974,2048
1494961405,1973,2047
1494964945,1973,2047
1494968544,1969,2043
1494972144,1973,2047
1494972672,1972,2046
1494983005,1972,2047
1494986605,1972,2047
1494990205,1971,2046
1494993805,1973,2049
1494997345,1973,2049
1495000945,1974,2050
1495008205,1973,2049
1495011805,1974,2050
1495015405,1971,2047
1495019005,1971,2047
1495022546,1973,2049
1495026206,1971,2047
1495029806,1970,2046
1495033405,1971,2047
1495036945,1972,2048
1495040545,1973,2049
1495047745,1972,2048
1495051405,1974,2050
1495055005,1973,2049
1495058546,1974,2050
1495062206,1974,2050
1495065806,1974,2050
1495069346,1973,2049
1495072946,1972,2048
1495076546,1973,2049
1495080146,1970,2046
1495083746,1969,2045
1495087406,1969,2045
1495091006,1970,2046
1495094607,1971,2047
1495098206,1972,2048
1495101807,1973,2049
1495105407,1974,2050
1495109007,1973,2049
1495112607,1974,2050
1495116206,1975,2051
1495119806,1971,2047
1495123406,1974,2050
1495127006,1975,2051
1495130547,1976,2053
1495134146,1977,2055
1495137808,1979,2057
1495141348,1980,2058
1495145007,1980,2058
1495148607,1979,2057
1495152147,1983,2061
1495155807,1986,2063
1495159407,1985,2062
1495163007,1988,2065
1495166547,1982,2059
1495170207,1979,2056
1495173807,1981,2058
1495177407,1980,2057
1495181007,1979,2056
1495184547,1981,2058
1495188208,1984,2061
1495191808,1983,2060
1495195349,1985,2062
1495199008,1986,2063
1495202609,1990,2067
1495206208,1990,2067
1495209809,1989,2066
1495213408,1990,2067
1495216948,1990,2067
1495220610,1989,2066
1495224211,1986,2063
1495227810,1987,2064
1495231409,1985,2070
1495234949,1986,2071
1495238609,1988,2073
1495242209,1989,2074
1495245809,1988,2073
1495249409,1989,2074
1495252949,1988,2073
1495256549,1985,2070
1495260149,1984,2069
1495263749,1987,2072
1495267350,1987,2072
1495271010,1988,2073
1495274550,1987,2072
1495278150,1992,2077
1495281752,1995,2080
1495285350,1995,2080
1495288951,1993,2078
1495292549,1993,2078
1495299751,1989,2075
1495303352,1989,2075
1495307011,1994,2080
1495310610,1991,2077
1495314211,1992,2078
1495317750,1991,2077
1495321350,2002,2088
