DateTime,AddedIPs,RemovedIPs
1494259391,1,0
1494262991,1,3
1494266531,1,0
1494273791,2,2
1494277392,1,0
1494280991,1,2
1494284591,1,3
1494291732,1,2
1494295392,3,0
1494298993,3,3
1494302533,0,2
1494306192,0,1
1494309792,0,8
1494313332,1,0
1494316992,1,1
1494320592,1,4
1494324196,2,0
1494327734,2,5
1494334994,2,1
1494338535,2,3
1494342195,1,2
1494345795,5,5
1494349335,2,0
1494352995,2,1
1494356596,2,4
1494360195,3,1
1494363795,3,0
1494367396,1,4
1494370935,1,2
1494374595,1,3
1494378196,2,0
1494381796,1,3
1494385395,1,0
1494388936,2,0
1494392595,2,1
1494396195,1,3
1494399736,3,0
1494403336,1,2
1494406935,1,1
1494410596,2,0
1494414196,2,1
1494421336,1,0
1494424996,4,3
1494428536,3,0
1494432196,3,2
1494435797,2,5
1494442996,0,4
1494446597,3,0
1494450137,0,1
1494453797,2,3
1494457397,0,2
1494460996,3,0
1494464597,1,2
1494468197,1,0
1494471797,2,3
1494475397,1,7
1494478997,1,0
1494482537,3,2
1494486137,2,3
1494489737,1,1
1494493397,3,0
1494496998,2,1
1494500598,2,3
1494507797,1,2
1494511398,1,5
1494514937,2,0
1494518598,2,3
1494522198,2,1
1494525798,1,2
1494529338,0,1
1494532998,2,5
1494536538,3,5
1494540138,0,3
1494543798,1,1
1494547398,1,0
1494550938,2,0
1494554598,1,0
1494558139,1,3
1494565399,2,6
1494568999,1,0
1494572538,1,3
1494576199,2,0
1494579798,2,1
1494583338,1,7
1494587000,1,0
1494590538,0,1
1494594139,2,0
1494597739,3,1
1494601400,3,2
1494604999,1,4
1494612139,2,1
1494615799,4,0
1494619340,1,2
1494622999,0,1
1494626599,3,3
1494630199,2,1
1494633739,2,1
1494641000,2,0
1494644600,2,3
1494648139,1,4
1494651740,2,0
1494655400,1,0
1494659001,2,5
1494662542,3,3
1494666201,4,1
1494669801,1,1
1494673341,1,1
1494684201,3,2
1494687741,1,2
1494691401,3,1
1494695003,3,2
1494698541,1,0
1494702202,3,1
1494705802,0,2
1494709402,2,0
1494710015,2,1
1494713002,0,3
1494716542,2,0
1494720142,0,2
1494723801,1,2
1494727401,4,2
1494731002,1,0
1494734601,2,3
1494741742,3,3
1494745402,3,0
1494748942,1,3
1494752603,3,4
1494756202,2,1
1494759743,2,0
1494766944,1,3
1494770543,1,0
1494774143,3,1
1494777743,1,1
1494781343,4,3
1494785003,4,0
1494788604,0,1
1494792202,4,2
1494795803,2,2
1494799403,2,0
1494803003,2,6
1494806602,2,1
1494813742,0,1
1494817403,1,1
1494821004,1,4
1494824604,1,5
1494828144,2,0
1494831744,1,2
1494835343,2,0
1494839003,2,3
1494842604,0,1
1494849743,0,1
1494853404,2,3
1494857003,1,0
1494860603,1,0
1494864144,0,6
1494867743,2,0
1494874945,1,4
1494878603,2,1
1494882145,1,3
1494885745,5,1
1494889404,2,1
1494892945,1,0
1494896544,2,3
1494900144,1,3
1494903805,2,0
1494907405,4,1
1494911005,0,1
1494914605,2,2
1494918145,1,3
1494921804,1,0
1494925405,4,4
1494929005,3,0
1494932605,1,1
1494936144,6,1
1494943346,2,3
1494947006,2,0
1494950545,1,1
1494954145,2,0
1494957806,3,0
1494961405,2,2
1494964945,1,3
1494972144,4,2
1494975745,0,2
1494983005,3,3
1494986605,1,0
1494990205,2,1
1494993805,3,3
1494997345,1,0
1495000945,2,6
1495008205,2,1
1495011805,1,0
1495015405,0,3
1495019005,1,3
1495022546,2,0
1495026206,1,1
1495029806,3,3
1495033405,1,0
1495036945,3,4
1495040545,1,0
1495044146,0,7
1495047745,1,0
1495051405,2,6
1495055005,1,2
1495058546,1,0
1495062206,2,0
1495065806,1,1
1495069346,0,4
1495076546,2,1
1495080146,0,1
1495083746,2,5
1495087406,1,2
1495091006,1,0
1495094607,2,2
1495098206,1,2
1495101807,1,4
1495105407,1,0
1495112607,3,2
1495116206,1,0
1495119806,1,5
1495123406,3,0
1495127006,2,2
1495130547,2,0
1495134146,4,2
1495137808,2,0
1495141348,2,0
1495145007,2,1
1495148607,1,0
1495152147,4,17
1495155807,4,0
1495163007,3,0
1495166547,0,6
1495173807,2,3
1495177407,0,2
1495181007,1,6
1495184547,2,0
1495188208,7,1
1495191808,0,1
1495195349,3,1
1495199008,3,0
1495202609,5,5
1495206208,1,0
1495209809,0,8
1495213408,2,1
1495216948,2,2
