DateTime,Entries,UniqueIPs
1494349335,968,968
1494352995,969,969
1494356596,970,970
1494360195,971,971
1494363795,972,972
1494367396,971,971
1494370935,972,972
1494374595,971,971
1494378196,972,972
1494381796,971,971
1494385395,970,970
1494388936,973,973
1494392595,975,975
1494396195,974,974
1494399736,974,974
1494403336,976,976
1494406935,976,976
1494410596,974,974
1494414196,974,974
1494417796,974,974
1494421336,973,973
1494424996,974,974
1494428536,982,982
1494432196,982,982
1494435797,984,984
1494439396,981,981
1494442996,978,978
1494446597,975,975
1494450137,975,975
1494453797,977,977
1494457397,977,977
1494460996,980,980
1494464597,978,978
1494468197,978,978
1494471797,979,979
1494475397,976,976
1494478997,975,975
1494482537,976,976
1494486137,975,975
1494489737,974,974
1494493397,977,977
1494496998,977,977
1494500598,979,979
1494504197,978,978
1494507797,976,976
1494511398,975,975
1494514937,971,971
1494518598,972,972
1494522198,973,973
1494525798,972,972
1494529338,975,975
1494532998,976,976
1494536538,977,977
1494540138,977,977
1494543798,977,977
1494547398,961,961
1494550938,961,961
1494554598,963,963
1494558139,964,964
1494561799,964,964
1494565399,959,959
1494568999,957,957
1494572538,955,955
1494576199,955,955
1494579798,953,953
1494583338,954,954
1494587000,953,953
1494594139,954,954
1494597739,955,955
1494601400,953,953
1494604999,945,945
1494608599,943,943
1494612139,945,945
1494615799,947,947
1494619340,949,949
1494622999,944,944
1494626599,946,946
1494630199,943,943
1494633739,943,943
1494637400,942,942
1494641000,942,942
1494644600,945,945
1494648139,944,944
1494651740,943,943
1494655400,940,940
1494659001,936,936
1494662542,938,938
1494666201,939,939
1494669801,937,937
1494673341,938,938
1494677001,936,936
1494680602,937,937
1494684201,935,935
1494687741,934,934
1494691401,936,936
1494695003,934,934
1494698541,929,929
1494702202,929,929
1494705802,926,926
1494709402,925,925
1494710015,927,927
1494713002,926,926
1494716542,926,926
1494720142,923,923
1494723801,926,926
1494727401,929,929
1494731002,927,927
1494734601,928,928
1494738141,926,926
1494741742,925,925
1494745402,923,923
1494748942,925,925
1494752603,925,925
1494756202,926,926
1494759743,927,927
1494763403,925,925
1494766944,925,925
1494770543,924,924
1494774143,927,927
1494777743,928,928
1494781343,929,929
1494785003,931,931
1494788604,932,932
1494792202,934,934
1494795803,935,935
1494799403,931,931
1494803003,928,928
1494806602,927,927
1494810202,926,926
1494813742,926,926
1494817403,923,923
1494821004,921,921
1494824604,922,922
1494828144,924,924
1494831744,924,924
1494835343,922,922
1494839003,923,923
1494842604,922,922
1494846203,921,921
1494849743,922,922
1494853404,920,920
1494857003,918,918
1494860603,915,915
1494864144,914,914
1494867743,916,916
1494871404,914,914
1494874945,914,914
1494878603,913,913
1494882145,915,915
1494885745,919,919
1494889404,918,918
1494892945,921,921
1494896544,920,920
1494900144,918,918
1494903805,918,918
1494907405,922,922
1494911005,917,917
1494914605,908,908
1494918145,905,905
1494921804,902,902
1494925405,905,905
1494929005,906,906
1494932605,907,907
1494936144,913,913
1494939806,914,914
1494943346,916,916
1494947006,915,915
1494950545,915,915
1494954145,914,914
1494957806,914,914
1494961405,916,916
1494964945,917,917
1494968544,918,918
1494972144,916,916
1494972672,916,916
1494979345,914,914
1494983005,915,915
1494986605,914,914
1494990205,915,915
1494993805,911,911
1494997345,911,911
1495000945,910,910
1495004605,909,909
1495008205,914,914
1495011805,913,913
1495019005,911,911
1495022546,914,914
1495026206,915,915
1495029806,916,916
1495033405,918,918
1495036945,917,917
1495040545,916,916
1495044146,915,915
1495047745,914,914
1495051405,917,917
1495055005,917,917
1495058546,917,917
1495062206,918,918
1495065806,919,919
1495069346,920,920
1495072946,918,918
1495076546,918,918
1495080146,915,915
1495083746,914,914
