DateTime,Entries,UniqueIPs
1489045958,92,92
1489065672,93,93
1489073315,94,94
1489084831,95,95
1489104086,96,96
1489119386,97,97
1489176993,98,98
1489184660,99,99
1489188510,100,100
1489211561,101,101
1489215416,102,102
1489242270,103,103
1489253798,106,106
1489261471,107,107
1489265260,110,110
1489269145,111,111
1489303936,112,112
1489307788,114,114
1489311667,118,118
1489326986,120,120
1489330897,124,124
1489350304,126,126
1489357947,132,132
1489361799,133,133
1489373317,134,134
1489400179,139,139
1489407867,140,140
1489411727,144,144
1489419396,145,145
1489423252,149,149
1489430902,151,151
1489434771,156,156
1489438577,158,158
1489476991,159,159
1489538452,160,160
1489542254,162,162
1489546111,163,163
1489565300,164,164
1489584796,166,166
1489588600,166,166
1489619308,167,167
1489630834,1,1
1489634660,3,3
1489638497,5,5
1489665397,6,6
1489669317,7,7
1489673093,8,8
1489688675,9,9
1489692546,10,10
1489704013,12,12
1489707864,13,13
1489715787,16,16
1489723718,19,19
1489727575,20,20
1489739072,21,21
1489750618,23,23
1489765954,24,24
1489781786,25,25
1489797400,26,26
1489812772,29,29
1489832195,32,32
1489843711,35,35
1489859072,36,36
1489866763,37,37
1489891476,38,38
1489895302,39,39
1489899181,42,42
1489926050,44,44
1489949322,45,45
1489953188,47,47
1489964914,49,49
1489972584,50,50
1489976440,53,53
1489987961,56,56
1489991797,57,57
1489995632,58,58
1489999457,59,59
1490014914,60,60
1490026349,61,61
1490030175,62,62
1490053236,64,64
1490057069,66,66
1490064810,67,67
1490076276,68,68
1490099835,69,69
1490107708,72,72
1490111569,73,73
1490131001,74,74
1490146344,76,76
1490150205,78,78
1490177067,79,79
1490215475,80,80
1490219305,81,81
1490242338,82,82
1490246177,83,83
1490280992,85,85
1490284924,88,88
1490300204,91,91
1490323244,94,94
1490365619,95,95
1490380818,96,96
1490404118,97,97
1490431017,98,98
1490458127,100,100
1490461947,101,101
1490469628,102,102
1490473462,103,103
1490484983,104,104
1490550406,105,105
1490554128,106,106
1490557976,109,109
1490561805,110,110
1490565720,111,111
1490577378,113,113
1490581232,115,115
1490627562,117,117
1490631498,119,119
1490639062,120,120
1490689235,124,124
1490742993,125,125
1490750672,127,127
1490754523,128,128
1490800852,133,133
1490808512,134,134
1490823869,135,135
1490835396,136,136
1490843072,137,137
1490862277,138,138
1490889563,142,142
1490897337,144,144
1490904997,145,145
1490916514,147,147
1490920365,148,148
1490947300,149,149
1490951072,151,151
1490954934,153,153
1490974122,155,155
1490977962,157,157
1491005327,158,158
1491036027,159,159
1491059340,162,162
1491070840,164,164
1491078511,166,166
1491108823,169,169
1491120112,170,170
1491127706,171,171
1491135419,170,170
1491143318,169,169
1491147152,168,168
1491154942,170,170
1491162512,171,171
1491178123,172,172
1491181953,172,172
1491185794,171,171
1491189633,169,169
1491208823,167,167
1491212690,166,166
1491224197,165,165
1491228113,163,163
1491231991,164,164
1491235724,164,164
1491243402,163,163
