DateTime,Entries,UniqueIPs
1493456979,398,398
1493460800,398,398
1493464967,396,396
1493468691,394,394
1493472512,393,393
1493476597,391,391
1493480438,390,390
1493484112,391,391
1493487860,393,393
1493491715,393,393
1493495585,393,393
1493499382,390,390
1493503330,389,389
1493507340,388,388
1493511178,383,383
1493518841,380,380
1493522666,379,379
1493526523,379,379
1493530634,375,375
1493534489,375,375
1493538254,372,372
1493542129,371,371
1493549820,369,369
1493553726,370,370
1493561321,370,370
1493565618,369,369
1493569644,369,369
1493573592,370,370
1493577381,370,370
1493581265,370,370
1493585071,368,368
1493592764,365,365
1493596589,364,364
1493600491,360,360
1493604536,357,357
1493608381,354,354
1493612224,349,349
1493616059,352,352
1493619879,352,352
1493627594,353,353
1493631389,352,352
1493635230,354,354
1493639077,353,353
1493642934,355,355
1493646762,356,356
1493650586,357,357
1493654521,354,354
1493658531,357,357
1493662365,358,358
1493666195,356,356
1493670063,356,356
1493673863,357,357
1493677725,363,363
1493681557,362,362
1493685382,362,362
1493689262,359,359
1493693067,363,363
1493696931,358,358
1493700773,367,367
1493704601,378,378
1493708565,384,384
1493712529,383,383
1493716389,381,381
1493720227,384,384
1493724183,379,379
1493727901,381,381
1493735397,382,382
1493739260,393,393
1493742975,395,395
1493746845,401,401
1493750707,411,411
1493754519,417,417
1493758381,417,417
1493762189,419,419
1493766119,413,413
1493769936,409,409
1493773743,409,409
1493777561,404,404
1493781418,405,405
1493785264,399,399
1493789059,401,401
1493792899,395,395
1493796777,394,394
1493800625,392,392
1493804455,387,387
1493808270,386,386
1493812111,388,388
1493816004,381,381
1493823756,380,380
1493827809,376,376
1493831614,371,371
1493835482,369,369
1493839260,365,365
1493846967,366,366
1493851084,365,365
1493854828,368,368
1493858656,366,366
1494168769,372,372
1494172560,372,372
1494180280,372,372
1494184113,372,372
1494192047,374,374
1494211224,376,376
1494222740,377,377
1494234620,377,377
1494246046,377,377
1494249881,376,376
1494257614,376,376
1494265243,376,376
1494292158,376,376
1494296003,376,376
1494299802,373,373
1494303651,371,371
1494307527,371,371
1494311342,371,371
1494319011,371,371
1494342106,371,371
1494380670,369,369
1494388360,368,368
1494396115,367,367
1494407565,369,369
1494434338,369,369
1494438114,370,370
1494449573,371,371
1494453344,370,370
1494465172,369,369
1494468996,369,369
1494480531,371,371
1494484374,372,372
1494495865,370,370
1494499711,368,368
1494503570,365,365
1494515074,357,357
1494522764,354,354
1494526585,350,350
1494530469,349,349
1494542193,348,348
1494549868,346,346
1494553705,344,344
1494557562,343,343
1494561405,345,345
1494565305,348,348
1494569074,347,347
1494572919,356,356
1494576745,354,354
1494580589,355,355
1494584441,355,355
1494595960,352,352
1494599794,353,353
1494607423,351,351
1494611330,351,351
1494615157,351,351
1494619007,349,349
1494622897,348,348
1494626920,346,346
1494630753,347,347
1494634604,347,347
1494638440,342,342
1494642267,342,342
1494646115,342,342
1494649975,339,339
1494653826,337,337
1494657633,333,333
1494665304,332,332
1494669155,328,328
1494674197,328,328
1494678372,326,326
1494682127,327,327
1494685983,326,326
1494689805,323,323
1494697467,324,324
1494701312,323,323
1494705184,322,322
1494709014,322,322
1494712950,327,327
1494716694,332,332
1494720552,338,338
1494724395,357,357
1494728205,358,358
1494732070,359,359
1494735873,359,359
1494739847,358,358
1494743555,355,355
1494747402,358,358
1494751488,365,365
1494755311,364,364
1494759171,363,363
1494763030,359,359
1494766930,359,359
1494770688,360,360
1494774500,367,367
1494778352,368,368
1494782186,368,368
1494786065,369,369
1494789863,369,369
1494793718,370,370
1494797553,375,375
1494801415,378,378
1494805241,379,379
1494809079,377,377
1494812928,379,379
1494816771,379,379
1494820612,374,374
1494824509,366,366
1494828281,358,358
1494832113,351,351
1494835964,330,330
1494839807,316,316
1494843646,287,287
1494847478,271,271
1494851329,260,260
1494855174,258,258
1494866830,243,243
1494897645,211,211
1494901496,208,208
1494905336,206,206
1494909174,206,206
1494920917,188,188
1494928624,193,193
1494955742,220,220
1494963416,222,222
1494967243,223,223
1494990315,227,227
1494994143,228,228
1495009491,234,234
1495017184,239,239
1495021009,240,240
1495028438,243,243
1495032275,244,244
1495036117,244,244
1495039971,243,243
1495063255,247,247
1495067086,254,254
1495070899,261,261
1495074781,265,265
1495078636,268,268
1495082419,265,265
1495086302,268,268
1495090112,260,260
1495093965,242,242
1495097818,226,226
1495101725,230,230
1495105481,232,232
1495109329,229,229
1495113180,233,233
1495116993,243,243
1495120868,244,244
1495124688,240,240
1495128532,245,245
1495132356,245,245
1495136206,237,237
1495140038,223,223
1495143876,210,210
1495147729,209,209
1495151569,211,211
1495155430,212,212
1495159362,213,213
1495163088,213,213
1495166916,216,216
1495170758,216,216
1495174631,213,213
1495178463,191,191
1495182294,182,182
1495186139,184,184
1495189960,176,176
1495193805,169,169
1495197644,157,157
1495201491,144,144
1495205336,143,143
1495209162,144,144
1495212998,142,142
1495216930,148,148
1495220697,154,154
1495224549,157,157
1495228540,164,164
1495232243,167,167
1495236056,171,171
1495239895,170,170
1495243769,168,168
1495247550,167,167
1495251410,168,168
1495255235,189,189
1495259093,201,201
1495262948,210,210
1495266806,224,224
1495270619,238,238
1495274563,248,248
1495278549,249,249
1495286464,249,249
1495290290,250,250
1495294142,251,251
1495297996,262,262
1495305679,272,272
1495309498,280,280
1495313351,292,292
1495317174,292,292
1495320988,286,286
1495324954,278,278
1495328700,279,279
1495332541,278,278
1495336385,268,268
1495340252,263,263
1495344054,263,263
1495347883,258,258
1495351737,259,259
1495355572,258,258
1495367060,251,251
1495370927,249,249
1495374801,246,246
1495378627,246,246
1495382564,254,254
1495386290,256,256
1495390127,255,255
1495394072,256,256
1495419416,258,258
1495423261,262,262
1495427085,268,268
1495430941,271,271
1495434778,276,276
1495438612,277,277
1495442453,278,278
1495446288,277,277
1495450135,280,280
1495453986,281,281
1495457806,279,279
1495461765,281,281
1495465743,281,281
1495469678,280,280
1495473391,280,280
1495477253,281,281
1495481084,284,284
1495484928,282,282
1495488767,281,281
1495492623,285,285
1495496432,285,285
1495500293,287,287
1495504130,303,303
1495507969,305,305
1495511801,318,318
1495515717,323,323
1495519734,325,325
1495523569,329,329
1495527403,328,328
1495531267,318,318
1495535077,306,306
1495538932,5,5
1495542761,25,25
1495546598,51,51
1495550444,70,70
1495554278,82,82
1495557982,104,104
1495561715,109,109
1495565555,113,113
1495569383,116,116
1495573323,123,123
1495577332,128,128
1495581169,129,129
1495584983,141,141
1495588854,145,145
1495592659,154,154
1495596501,173,173
1495600353,190,190
1495604195,196,196
1495608031,193,193
1495611858,194,194
1495615708,193,193
1495623387,197,197
1495627313,202,202
1495631093,207,207
1495635175,218,218
1495638989,222,222
1495643132,216,216
1495646970,210,210
1495650851,212,212
1495654620,206,206
1495658454,203,203
1495662278,231,231
1495666131,232,232
1495669969,245,245
1495673827,278,278
1495677752,253,253
1495681484,254,254
1495685313,252,252
1495689156,252,252
1495693018,253,253
1495696967,283,283
1495700697,277,277
1495704529,272,272
1495708369,240,240
1495712607,224,224
1495716282,220,220
1495720137,217,217
1495727809,217,217
1495731727,220,220
1495735732,207,207
1495739579,202,202
1495743392,196,196
1495747222,193,193
1495751087,196,196
1495754937,196,196
1495758747,195,195
1495762586,192,192
1495766420,191,191
1495770265,194,194
1495774120,193,193
1495777950,193,193
1495781780,194,194
1495786131,188,188
1495789938,191,191
1495793797,197,197
1495797645,203,203
1495801480,204,204
1495805161,204,204
1495808920,205,205
1495816595,204,204
1495820397,199,199
1495824275,182,182
1495827946,179,179
1495831968,178,178
1495835811,184,184
1495839711,199,199
1495843754,207,207
1495847571,214,214
1495851388,214,214
1495855250,215,215
1495859066,214,214
1495862929,217,217
1495866764,216,216
1495870599,217,217
1495874425,227,227
1495878267,227,227
1495882113,227,227
1495889797,228,228
1495901567,227,227
1495905394,236,236
1495909249,239,239
1495913085,241,241
1495916919,245,245
1495920772,248,248
1495924588,257,257
1495928455,258,258
1495932282,257,257
1495936130,258,258
1495939970,260,260
1495943809,267,267
1495947721,275,275
1495951483,281,281
1495955306,282,282
1495962974,282,282
1495966864,285,285
1495970696,287,287
1495974530,285,285
1495978374,287,287
1495982204,290,290
1495986043,289,289
1495989885,292,292
1495993558,296,296
1495997324,302,302
1496001169,311,311
1496005369,311,311
1496020868,320,320
1496024683,323,323
1496028506,325,325
1496036208,320,320
1496040033,315,315
1496043886,297,297
1496047728,289,289
1496051565,275,275
1496055404,243,243
1496059424,223,223
1496063313,204,204
1496071115,193,193
1496074859,194,194
1496078691,189,189
1496082529,185,185
1496086366,178,178
1496090208,168,168
1496094055,168,168
1496097879,167,167
1496101726,164,164
1496105540,157,157
1496109385,156,156
1496113299,145,145
1496116962,128,128
1496120685,129,129
1496124514,130,130
1496128376,128,128
1496132210,130,130
1496139858,130,130
1496143702,132,132
1496151394,130,130
1496155234,134,134
1496159065,134,134
1496162906,133,133
1496166748,135,135
1496174502,135,135
1496178281,137,137
1496182441,137,137
1496186206,142,142
1496190049,144,144
