DateTime,Entries,UniqueIPs
1493754527,439,439
1493758384,435,435
1493762193,433,433
1493766121,404,404
1493769940,371,371
1493773746,385,385
1493777564,397,397
1493781420,448,448
1493785266,450,450
1493789062,449,449
1493792901,395,395
1493796781,396,396
1493800628,449,449
1493804457,451,451
1493808272,448,448
1493812116,447,447
1493816031,412,412
1493823791,448,448
1493827829,446,446
1493831632,446,446
1493835505,440,440
1493839272,435,435
1493846979,438,438
1493854830,384,384
1493858660,434,434
1494168772,420,420
1494172563,417,417
1494176510,417,417
1494180282,416,416
1494184116,415,415
1494187961,412,412
1494192050,410,410
1494195877,408,408
1494199709,407,407
1494203561,406,406
1494207399,403,403
1494211226,397,397
1494215087,394,394
1494218915,393,393
1494222742,391,391
1494226604,391,391
1494230527,388,388
1494234623,386,386
1494238388,384,384
1494242197,383,383
1494246048,378,378
1494249883,377,377
1494253721,376,376
1494257616,378,378
1494261436,381,381
1494265246,379,379
1494269089,378,378
1494272914,368,368
1494276780,369,369
1494280601,361,361
1494284555,364,364
1494288288,364,364
1494292161,364,364
1494296012,367,367
1494299804,369,369
1494303653,371,371
1494307530,371,371
1494311344,371,371
1494315181,373,373
1494319013,372,372
1494322838,373,373
1494326673,374,374
1494330520,375,375
1494334371,371,371
1494338312,371,371
1494342109,367,367
1494346129,368,368
1494349970,369,369
1494353801,366,366
1494357649,364,364
1494361471,360,360
1494365322,366,366
1494369159,369,369
1494373007,371,371
1494376846,368,368
1494380673,364,364
1494384521,366,366
1494388362,367,367
1494392184,367,367
1494396118,368,368
1494399886,371,371
1494407567,373,373
1494415235,377,377
1494419068,379,379
1494434340,381,381
1494438116,382,382
1494441877,380,380
1494445724,383,383
1494449575,374,374
1494453347,375,375
1494457300,375,375
1494461345,373,373
1494465174,377,377
1494468999,378,378
1494472845,380,380
1494476668,381,381
1494480534,387,387
1494484377,400,400
1494488201,402,402
1494492040,350,350
1494495868,335,335
1494499713,315,315
1494503573,259,259
1494507391,258,258
1494515076,284,284
1494522767,281,281
1494526587,277,277
1494530473,289,289
1494542195,331,331
1494546028,337,337
1494549870,361,361
1494553707,328,328
1494557564,295,295
1494561410,273,273
1494565308,278,278
1494569076,302,302
1494572922,314,314
1494576748,325,325
1494580593,332,332
1494584443,303,303
1494595963,299,299
1494599797,300,300
1494603619,315,315
1494607426,254,254
1494611333,293,293
1494615160,343,343
1494619009,402,402
1494622899,434,434
1494626923,404,404
1494630755,404,404
1494634610,415,415
1494638442,407,407
1494642270,380,380
1494646117,375,375
1494649978,344,344
1494653828,342,342
1494657635,282,282
1494661481,275,275
1494665311,235,235
1494669157,232,232
1494674200,264,264
1494678374,298,298
1494682129,316,316
