DateTime,AddedIPs,RemovedIPs
1493681571,444,442
1493685399,294,296
1493689284,423,420
1493693098,448,448
1493696950,444,448
1493700793,447,442
1493704619,444,447
1493708586,445,442
1493712546,347,354
1493716403,103,110
1493720248,350,344
1493724199,440,433
1493727917,250,251
1493731720,15,19
1493735417,95,106
1493739276,330,324
1493742999,421,429
1493746867,441,426
1493750741,447,444
1493754556,448,448
1493758398,438,446
1493762205,438,435
1493766134,439,441
1493769955,448,440
1493773757,438,446
1493777577,441,436
1493781434,447,443
1493785284,444,448
1493789076,437,446
1493792920,437,430
1493796802,442,439
1493800642,142,144
1493804474,231,239
1493808284,368,359
1493812135,222,233
1493827891,441,433
1493835615,443,442
1493839340,351,358
1493847045,424,430
1493854845,428,414
1493858676,429,432
1494168784,188,432
1494172574,8,0
1494176522,9,0
1494180293,10,1
1494184127,12,0
1494187972,5,0
1494192061,15,2
1494195887,7,2
1494199737,8,5
1494203572,24,13
1494207410,17,13
1494211238,13,12
1494215099,20,17
1494218926,10,13
1494222754,14,10
1494226615,19,16
1494230538,11,15
1494234635,16,26
1494238399,4,10
1494242208,14,20
1494246060,16,16
1494249895,13,12
1494253733,16,21
1494257628,16,17
1494261448,9,9
1494265262,11,11
1494269099,12,13
1494272925,10,10
1494276791,15,18
1494280613,12,23
1494284566,11,13
1494288300,15,6
1494292172,7,5
1494296054,12,6
1494299816,15,11
1494303664,9,5
1494307542,9,7
1494311355,13,15
1494315193,2,7
1494319025,12,10
1494322850,22,21
1494326684,14,12
1494330531,14,12
1494334382,20,16
1494338323,13,15
1494342121,18,17
1494346140,9,15
1494349981,20,26
1494353812,15,22
1494357660,20,20
1494361484,12,16
1494365333,18,15
1494369170,10,12
1494373018,13,14
1494376857,11,7
1494380685,9,7
1494384532,11,13
1494388373,12,22
1494392195,13,17
1494396131,11,10
1494399898,13,9
1494407578,15,20
1494415246,19,22
1494419079,22,16
1494434352,59,62
1494438127,5,12
1494441889,8,16
1494445735,18,8
1494449587,14,4
1494453358,7,7
1494457311,14,12
1494465186,18,12
1494469011,7,7
1494472857,8,9
1494476680,11,6
1494480551,30,19
1494484389,87,54
1494488213,19,16
1494492054,17,37
1494495880,17,23
1494499727,13,24
1494503584,26,38
1494507409,9,8
1494515088,41,24
1494522780,31,45
1494526601,37,43
1494530485,52,23
1494542207,61,35
1494549882,39,35
1494553718,18,58
1494557577,27,36
1494561429,122,45
1494565322,411,301
1494569089,438,436
1494572936,436,441
1494576759,54,57
1494580616,17,33
1494584455,56,88
1494595975,64,113
1494599809,10,26
1494603639,11,15
1494607439,15,53
1494611346,57,40
1494615174,438,291
1494619022,444,445
1494622913,435,441
1494626936,444,435
1494630768,440,445
1494634630,443,443
1494638454,150,154
1494642284,62,69
1494646129,29,38
1494649992,29,62
1494653840,21,32
1494657648,15,66
1494661493,20,34
1494665330,18,59
1494669170,16,51
1494674214,420,211
1494678389,433,436
1494682142,437,438
1494686002,436,436
1494689820,428,425
1494693645,32,45
1494697481,30,57
1494701327,35,55
1494705200,50,68
1494709039,204,229
