DateTime,Entries,UniqueIPs
1493677759,179,179
1493681580,177,177
1493685408,186,186
1493689295,186,186
1493693111,189,189
1493696960,195,195
1493700802,200,200
1493704628,202,202
1493708594,203,203
1493712558,207,207
1493716411,208,208
1493720256,216,216
1493724207,227,227
1493727926,231,231
1493731729,230,230
1493735425,230,230
1493739285,224,224
1493743013,220,220
1493746878,229,229
1493750772,231,231
1493754576,225,225
1493758406,225,225
1493762214,224,224
1493766143,226,226
1493769963,222,222
1493773766,228,228
1493777585,237,237
1493781442,231,231
1493785293,235,235
1493789085,242,242
1493792933,234,234
1493796815,234,234
1493800650,235,235
1493804483,231,231
1493808292,233,233
1493812145,235,235
1493835664,210,210
1493839378,203,203
1493847102,207,207
1493854855,194,194
1493858686,200,200
1494168791,315,315
1494172580,314,314
1494176529,311,311
1494180300,310,310
1494184134,310,310
1494187980,303,303
1494192068,301,301
1494195895,293,293
1494199754,292,292
1494203579,288,288
1494207417,288,288
1494211245,284,284
1494215107,285,285
1494218934,279,279
1494222762,275,275
1494226622,272,272
1494230545,271,271
1494234642,272,272
1494238406,265,265
1494242215,265,265
1494246067,264,264
1494249902,258,258
1494253740,255,255
1494257635,255,255
1494261455,253,253
1494265273,251,251
1494269106,249,249
1494272933,242,242
1494276798,240,240
1494280620,234,234
1494284574,232,232
1494288308,231,231
1494292179,229,229
1494296086,227,227
1494299823,225,225
1494303671,227,227
1494307548,222,222
1494311363,220,220
1494315200,219,219
1494319033,218,218
1494322857,216,216
1494326691,215,215
1494330538,215,215
1494334392,214,214
1494338331,207,207
1494342128,207,207
1494346147,207,207
1494349989,204,204
1494353820,202,202
1494357668,205,205
1494361491,203,203
1494365341,203,203
1494369177,203,203
1494373026,204,204
1494376865,202,202
1494380692,202,202
1494384539,202,202
1494388380,202,202
1494392204,203,203
1494396137,206,206
1494399905,205,205
1494407586,209,209
1494415253,209,209
1494419086,216,216
1494434360,214,214
1494438136,217,217
1494441896,218,218
1494445743,225,225
1494449594,229,229
1494453366,233,233
1494457318,230,230
1494465193,237,237
1494469018,235,235
1494472864,237,237
1494476688,234,234
1494480562,237,237
1494484396,241,241
1494488221,240,240
1494492062,242,242
1494495887,241,241
1494499735,243,243
1494503593,248,248
1494507419,252,252
1494515095,253,253
1494522787,250,250
1494526609,248,248
1494530493,248,248
1494542214,244,244
1494549890,246,246
1494553727,260,260
