DateTime,AddedIPs,RemovedIPs
1491546572,1,2
1491558163,0,2
1491561943,0,1
1491569802,0,3
1491573533,0,2
1491577338,1,0
1491581519,1,4
1491589045,2,1
1491592871,4,5
1491596693,0,3
1491600808,0,3
1491604621,3,1
1491608489,2,0
1491612294,2,0
1491616144,2,0
1491619985,0,1
1491623818,1,1
1491643018,2,2
1491647064,1,0
1491677695,10,13
1491681412,2,0
1491689114,2,0
1491700877,1,0
1491708817,0,1
1491732127,1,0
1491736165,1,2
1491740018,1,0
1491743836,2,2
1491755337,2,1
1491759193,1,1
1491771195,1,0
1491798106,1,0
1491801903,1,0
1491805745,1,1
1491813416,0,1
1491817296,1,0
1491825216,2,0
1491829063,0,2
1491833028,2,0
1491836706,1,0
1491844395,2,0
1491848259,0,1
1491852167,1,0
1491855917,1,0
1491863873,0,1
1491871507,1,0
1491883049,0,1
1491890707,2,1
1491898371,0,2
1491906070,0,1
1491909915,2,2
1491913777,0,1
1491917577,0,1
1491921443,0,1
1491929364,2,0
1491937073,3,1
1491948805,1,1
1491952617,1,0
1491964423,0,1
1491972090,1,2
1491975905,0,2
1491979780,0,2
1491987434,0,3
1491995359,0,1
1492014581,3,1
1492029895,2,1
1492033769,0,2
1492037584,1,1
1492056781,1,1
1492060627,1,1
1492068308,1,0
1492072176,0,1
1492075997,1,1
1492102969,2,0
1492106713,1,0
1492118237,3,2
1492125894,2,0
1492145151,0,1
1492149196,1,0
1492153061,1,0
1492156959,1,3
1492191674,0,1
1492195507,2,1
1492199355,1,1
1492203166,0,1
1492207046,1,1
1492218580,1,0
1492222416,2,3
1492226518,1,1
1492230315,1,3
1492237994,1,0
1492241858,1,0
1492249488,0,1
1492257200,0,1
1492264954,1,0
1492276613,0,70
1492280465,5,0
1492284279,3,0
1492288140,6,0
1492292175,2,0
1492327299,2,0
1492350292,3,0
1492361801,3,0
1492369501,1,0
1492373345,1,0
1492392535,1,0
1492431181,2,0
1492446529,2,0
1492450386,3,0
1492458496,2,0
1492489258,0,37
1492496938,3,0
1492504611,9,0
1492508432,3,0
1492512279,4,0
1492516118,2,0
1492519984,1,0
1492527765,1,0
1492535593,4,0
1492539422,3,0
1492543289,3,0
1492566271,2,0
1492570124,2,0
1492573966,1,0
1492593163,1,0
1492597007,1,0
1492604696,1,0
1492620071,2,0
1492624058,1,0
1492627760,3,0
1492654608,1,0
1492662284,1,0
1492673806,1,0
1492697377,1,0
1492705001,1,0
1492712695,1,0
1492716532,3,0
1492758758,1,0
1492770277,2,0
1492793591,3,1
1492798051,1,0
1492805603,1,0
1492809687,1,0
1492832702,2,0
1492836542,3,2
1492859847,0,1
1492871338,2,0
1492879019,2,2
1492890561,2,0
1492898313,1,0
1492921261,1,1
1492925126,1,0
1492928925,1,2
1492932796,0,1
1492967333,2,0
1492971163,1,1
1492975004,2,0
1492978876,2,0
1492982739,1,0
1492986543,0,1
1493009576,1,1
1493017354,1,5
1493021339,1,0
1493032860,0,1
1493036740,1,0
1493040561,2,0
1493044387,1,0
1493052040,2,1
1493059921,1,0
1493063897,1,0
1493067790,0,1
1493071514,0,1
1493075368,0,1
1493083045,1,2
1493094922,0,1
1493114250,1,0
1493125761,2,0
1493133455,1,0
1493137272,2,1
1493141097,0,2
1493145153,2,1
1493149302,4,0
1493153111,1,0
1493172314,1,0
1493179998,1,0
1493183858,0,2
1493187656,0,1
1493191500,1,2
1493203064,0,4
1493214591,0,1
1493218404,0,2
1493222259,1,2
1493230135,1,3
1493234251,1,1
1493238087,2,1
1493241892,2,0
1493249673,2,3
1493263243,0,6
1493267264,1,0
1493270967,0,1
1493278674,0,2
1493282500,1,1
1493286319,2,2
1493290167,1,1
1493302422,1,2
1493306251,0,2
1493310297,2,3
1493314177,0,1
1493318000,3,0
1493321867,3,0
1493325660,0,1
1493329502,2,0
1493333367,0,5
1493337183,2,1
1493341074,2,1
1493344944,0,1
1493348709,0,3
1493352578,0,3
1493356377,1,1
1493364065,0,1
1493367887,1,1
1493371777,0,1
1493375568,0,2
1493379453,0,4
1493387180,0,2
1493390983,1,1
1493394703,1,2
1493398378,1,0
1493402238,1,0
1493406115,1,0
1493410172,1,0
1493433455,2,1
1493437250,4,0
1493441095,0,1
1493444966,1,1
1493453024,0,1
1493457021,0,4
1493464994,1,3
1493468720,0,2
1493476625,2,1
1493480462,1,0
1493484166,2,1
1493487895,0,1
1493491768,2,2
1493495611,3,0
1493499410,1,0
1493507361,1,0
1493511208,0,1
1493518865,2,0
1493526549,0,2
1493549846,2,0
1493553773,1,0
1493557546,1,0
1493565648,2,1
1493569667,2,2
1493573626,2,2
1493577404,2,0
1493581288,4,4
1493585102,2,0
1493592791,1,0
1493604567,4,1
1493612256,2,0
1493616085,1,0
1493619902,3,2
1493623764,0,2
1493627626,2,1
