DateTime,Entries,UniqueIPs
1491596693,63,63
1491600808,60,60
1491604621,62,62
1491608489,64,64
1491612294,66,66
1491616144,68,68
1491619985,67,67
1491623818,67,67
1491643018,67,67
1491647064,68,68
1491677695,65,65
1491681412,67,67
1491689114,69,69
1491700877,70,70
1491708817,69,69
1491732127,70,70
1491736165,69,69
1491740018,70,70
1491743836,70,70
1491755337,71,71
1491759193,71,71
1491771195,72,72
1491798106,73,73
1491801903,74,74
1491805745,74,74
1491813416,73,73
1491817296,74,74
1491825216,76,76
1491829063,74,74
1491833028,76,76
1491836706,77,77
1491844395,79,79
1491848259,78,78
1491852167,79,79
1491855917,80,80
1491863873,79,79
1491871507,80,80
1491883049,79,79
1491890707,80,80
1491898371,78,78
1491906070,77,77
1491909915,77,77
1491913777,76,76
1491917577,75,75
1491921443,74,74
1491929364,76,76
1491937073,78,78
1491948805,78,78
1491952617,79,79
1491964423,78,78
1491972090,77,77
1491975905,75,75
1491979780,73,73
1491987434,70,70
1491995359,69,69
1492014581,71,71
1492029895,72,72
1492033769,70,70
1492037584,70,70
1492056781,70,70
1492060627,70,70
1492068308,71,71
1492072176,70,70
1492075997,70,70
1492102969,72,72
1492106713,73,73
1492118237,74,74
1492125894,76,76
1492145151,75,75
1492149196,76,76
1492153061,77,77
1492156959,75,75
1492191674,74,74
1492195507,75,75
1492199355,75,75
1492203166,74,74
1492207046,74,74
1492218580,75,75
1492222416,74,74
1492226518,74,74
1492230315,72,72
1492237994,73,73
1492241858,74,74
1492249488,73,73
1492257200,72,72
1492264954,73,73
1492276613,3,3
1492280465,8,8
1492284279,11,11
1492288140,17,17
1492292175,19,19
1492327299,21,21
1492350292,24,24
1492361801,27,27
1492369501,28,28
1492373345,29,29
1492392535,30,30
1492431181,32,32
1492446529,34,34
1492450386,37,37
1492458496,39,39
1492489258,2,2
1492496938,5,5
1492504611,14,14
1492508432,17,17
1492512279,21,21
1492516118,23,23
1492519984,24,24
1492527765,25,25
1492535593,29,29
1492539422,32,32
1492543289,35,35
1492566271,37,37
1492570124,39,39
1492573966,40,40
1492593163,41,41
1492597007,42,42
1492604696,43,43
1492620071,45,45
1492624058,46,46
1492627760,49,49
1492654608,50,50
1492662284,51,51
1492673806,52,52
1492697377,53,53
1492705001,54,54
1492712695,55,55
1492716532,58,58
1492758758,59,59
1492770277,61,61
1492793591,63,63
1492798051,64,64
1492805603,65,65
1492809687,66,66
1492832702,68,68
1492836542,69,69
1492859847,68,68
1492871338,70,70
1492879019,70,70
1492890561,72,72
1492898313,73,73
1492921261,73,73
1492925126,74,74
1492928925,73,73
1492932796,72,72
1492967333,74,74
1492971163,74,74
1492975004,76,76
1492978876,78,78
1492982739,79,79
1492986543,78,78
1493009576,78,78
1493017354,74,74
1493021339,75,75
1493032860,74,74
1493036740,75,75
1493040561,77,77
1493044387,78,78
1493052040,79,79
1493059921,80,80
1493063897,81,81
1493067790,80,80
1493071514,79,79
1493075368,78,78
1493083045,77,77
1493094922,76,76
1493114250,77,77
1493125761,79,79
1493133455,80,80
1493137272,81,81
1493141097,79,79
1493145153,80,80
1493149302,84,84
1493153111,85,85
1493172314,86,86
1493179998,87,87
1493183858,85,85
1493187656,84,84
1493191500,83,83
1493203064,79,79
1493214591,78,78
1493218404,76,76
1493222259,75,75
1493230135,73,73
1493234251,73,73
1493238087,74,74
1493241892,76,76
1493249673,75,75
1493263243,69,69
1493267264,70,70
1493270967,69,69
1493278674,67,67
1493282500,67,67
1493286319,67,67
1493290167,67,67
1493302422,66,66
1493306251,64,64
1493310297,63,63
1493314177,62,62
1493318000,65,65
1493321867,68,68
1493325660,67,67
1493329502,69,69
1493333367,64,64
1493337183,65,65
1493341074,66,66
1493344944,65,65
1493348709,62,62
1493352578,59,59
1493356377,59,59
1493364065,58,58
1493367887,58,58
1493371777,57,57
1493375568,55,55
1493379453,51,51
1493387180,49,49
1493390983,49,49
1493394703,48,48
1493398378,49,49
1493402238,50,50
1493406115,51,51
1493410172,52,52
1493433455,53,53
1493437250,57,57
1493441095,56,56
1493444966,56,56
1493453024,55,55
1493457021,51,51
1493464994,49,49
1493468720,47,47
1493476625,48,48
1493480462,49,49
1493484166,50,50
1493487895,49,49
1493491768,49,49
1493495611,52,52
1493499410,53,53
1493507361,54,54
1493511208,53,53
1493518865,55,55
1493526549,53,53
1493549846,55,55
